Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2002-07-01,-0.010442905128002167,-0.010742447749527241,-0.010225588746293908,-0.010454654082959215,1080397
2002-07-02,-0.010525133460760117,-0.010660224554845445,-0.010395921413855608,-0.010624978593510737,1016147
2002-07-03,-0.010525133460760117,-0.010630856727086711,-0.01046052698050544,-0.010513385416051778,980394
2002-07-04,-0.01058387104421854,-0.010742451847684681,-0.01057212208477936,-0.01057212208477936,972747
2002-07-05,-0.010560371913015842,-0.01064260548360041,-0.010519263350167013,-0.01064260548360041,974496
2002-07-08,-0.011024371720850468,-0.011147713834007592,-0.010460525062547556,-0.010689591336251386,1061686
2002-07-09,-0.010736579075455666,-0.011041992581171212,-0.010666094467651318,-0.010983256017070767,1024719
2002-07-10,-0.01072483230382204,-0.010807058576854283,-0.010630857984691695,-0.010807058576854283,946638
2002-07-11,-0.01054862979799509,-0.0111065983425627,-0.010519261974633447,-0.0111065983425627,968220
2002-07-12,-0.010630854405462742,-0.010754197427903409,-0.010572118762772285,-0.010666093050263078,967763
2002-07-15,-0.010413538664579391,-0.010566248604372431,-0.01037242188489883,-0.010513383781809691,974157
2002-07-16,-0.010507514700293541,-0.010583870139653324,-0.010454657177803835,-0.010454657177803835,959138
2002-07-17,-0.010425289161503315,-0.010513385335263794,-0.010395921333970253,-0.010513385335263794,955902
2002-07-18,-0.01054862979799509,-0.010707210562519706,-0.010460525414305455,-0.010707210562519706,958081
2002-07-19,-0.010507514700293541,-0.01063085683734493,-0.010401791432870434,-0.01063085683734493,1022018
2002-07-22,-0.010260832495987415,-0.010554504440625632,-0.010190355176048013,-0.010337187037144445,959229
2002-07-23,-0.010260832495987415,-0.010448781151876215,-0.009984779424531529,-0.009984779424531529,950108
2002-07-24,-0.00999065488576889,-0.01029606748703573,-0.00999065488576889,-0.010160984622893655,1004507
2002-07-25,-0.010084627196192741,-0.010437027336037978,-0.009926046448058924,-0.010278446587904161,929688
2002-07-26,-0.00977333914488554,-0.009837945626120106,-0.009702854529985845,-0.009837945626120106,934529
2002-07-29,-0.009532531723380089,-0.009926048729332039,-0.009415060415077205,-0.009926048729332039,955236
2002-07-30,-0.009426805190742016,-0.009926045287448879,-0.009397437373849665,-0.009926045287448879,972108
2002-07-31,-0.00933870580047369,-0.0095736420425297,-0.009162505217740265,-0.0095736420425297,961513
2002-08-01,-0.00945029966533184,-0.009661746226901857,-0.009397442136161702,-0.009397442136161702,953331
2002-08-02,-0.009356323629617691,-0.009397440413776643,-0.009203620982030097,-0.009397440413776643,939461
2002-08-05,-0.00933870580047369,-0.009867313943908296,-0.009174254176814592,-0.009867313943908296,982116
2002-08-06,-0.009209491312503815,-0.009397439909704866,-0.009168374530550336,-0.009397439909704866,971195
2002-08-07,-0.009379821829497814,-0.009514904698949781,-0.009309337216809748,-0.009514904698949781,966576
2002-08-08,-0.009238858707249165,-0.009573640017718368,-0.009191871103333813,-0.009573640017718368,971443
2002-08-09,-0.009309337474405766,-0.00936807313059636,-0.009221241298958722,-0.009279969646310468,918884
2002-08-12,-0.009350452572107315,-0.009391568437619402,-0.009279967970199539,-0.009344581748363189,489590
2002-08-13,-0.009315215051174164,-0.009391569572447658,-0.009279969091542573,-0.009362201746108004,384772
2002-08-14,-0.009221241809427738,-0.009373944474323173,-0.009121388447561484,-0.009373944474323173,482452
2002-08-15,-0.009221241809427738,-0.009221241809427738,-0.009221241809427738,-0.009221241809427738,0
2002-08-16,-0.00907440297305584,-0.009279971413638493,-0.009021545440442109,-0.009197745133731467,520671
2002-08-19,-0.009068530052900314,-0.009279969270577003,-0.008992175530153745,-0.009279969270577003,501059
2002-08-20,-0.009062658064067364,-0.009156632347806587,-0.0090450309767314,-0.009156632347806587,507936
