Price,Close,High,Low,Open,Volume
Ticker,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS,AFFORDABLE.NS
Date,,,,,
2024-10-23,731.2000122070312,788.5,690.2000122070312,751.0999755859375,42390
2024-10-24,735.7999877929688,744.5,711.0,731.2000122070312,16501
2024-10-25,706.7999877929688,755.5499877929688,689.7999877929688,743.0,30662
2024-10-28,705.2000122070312,732.5999755859375,671.0,721.0,20505
2024-10-29,708.0499877929688,758.7999877929688,666.0,705.2000122070312,28403
2024-10-31,693.0,723.0,670.5,720.0,24032
2024-11-01,713.7000122070312,720.0,701.25,718.0,13926
2024-11-04,705.6500244140625,740.0,661.0499877929688,720.0499877929688,43362
2024-11-06,711.0999755859375,725.0,679.0999755859375,715.2999877929688,20163
2024-11-07,698.5999755859375,734.9500122070312,694.0,725.0,15470
2024-11-08,691.9000244140625,704.9500122070312,684.75,704.9500122070312,14659
2024-11-11,681.5,729.9500122070312,596.1500244140625,635.0,222021
2024-11-12,655.9500122070312,693.9500122070312,649.0999755859375,682.0,23624
2024-11-13,641.4000244140625,662.9500122070312,611.9500122070312,655.9500122070312,29885
2024-11-14,662.0,667.0,634.5499877929688,648.0,11217
2024-11-18,655.2000122070312,683.2999877929688,641.0999755859375,683.2999877929688,14149
2024-11-19,643.5,679.9000244140625,637.2000122070312,650.0,20204
2024-11-21,638.5999755859375,653.2999877929688,631.0,648.2999877929688,10037
2024-11-22,641.4500122070312,654.2999877929688,630.5,648.2999877929688,13808
2024-11-25,639.9500122070312,659.9500122070312,638.1500244140625,659.9500122070312,11262
2024-11-26,643.5499877929688,648.4500122070312,634.0499877929688,646.2000122070312,7436
2024-11-27,644.5499877929688,651.0,636.75,644.1500244140625,12153
2024-11-28,643.5499877929688,665.75,634.0,659.7999877929688,14857
2024-11-29,640.9000244140625,648.2999877929688,634.6500244140625,643.5499877929688,10140
2024-12-02,637.9500122070312,657.7000122070312,631.0999755859375,645.7000122070312,8771
2024-12-03,647.8499755859375,678.4500122070312,642.7000122070312,642.7000122070312,25748
2024-12-04,640.0,657.4500122070312,635.4500122070312,657.4000244140625,19128
2024-12-05,638.9000244140625,645.0,631.0999755859375,633.7000122070312,11486
2024-12-06,634.4000244140625,641.7999877929688,626.0,639.4500122070312,46152
2024-12-09,638.7000122070312,644.0,630.0999755859375,630.0999755859375,8893
2024-12-10,639.7000122070312,648.0,626.0999755859375,635.0,32801
2024-12-11,648.4500122070312,651.5999755859375,640.0,640.0,11475
