Price,Close,High,Low,Open,Volume
Ticker,AGARWALEYE.NS,AGARWALEYE.NS,AGARWALEYE.NS,AGARWALEYE.NS,AGARWALEYE.NS
Date,,,,,
2025-02-04,401.6499938964844,412.8999938964844,370.20001220703125,402.0,15635750
2025-02-05,395.5,410.0,389.0,392.04998779296875,2348481
2025-02-06,404.3999938964844,421.54998779296875,365.70001220703125,392.1000061035156,7037799
2025-02-07,402.04998779296875,425.5,398.29998779296875,405.0,2451596
2025-02-10,402.79998779296875,407.95001220703125,385.3500061035156,397.5,1146330
2025-02-11,406.8500061035156,413.5,392.79998779296875,397.25,2169020
2025-02-12,425.6000061035156,433.29998779296875,396.0,401.0,3489372
2025-02-13,449.0,464.0,420.1000061035156,420.1000061035156,3917987
2025-02-14,439.0,456.6000061035156,434.0,449.70001220703125,3396560
2025-02-17,424.70001220703125,443.3500061035156,405.1499938964844,430.0,1437535
2025-02-18,416.79998779296875,433.45001220703125,410.45001220703125,419.95001220703125,850826
2025-02-19,421.95001220703125,429.79998779296875,411.6000061035156,417.29998779296875,655123
2025-02-20,418.5,435.0,411.70001220703125,428.0,574120
2025-02-21,412.6000061035156,420.0,406.20001220703125,415.6499938964844,469512
2025-02-24,402.5,412.0,397.54998779296875,412.0,1740787
2025-02-25,404.79998779296875,414.1499938964844,398.54998779296875,402.04998779296875,695024
2025-02-27,407.1499938964844,410.0,395.6000061035156,404.79998779296875,1008519
2025-02-28,401.0,405.0,391.04998779296875,398.5,644242
2025-03-03,391.79998779296875,398.0,376.54998779296875,380.04998779296875,897408
2025-03-04,402.54998779296875,405.5,383.0,388.0,400581
2025-03-05,418.0,419.95001220703125,390.0,390.0,568420
2025-03-06,414.95001220703125,418.0,402.0,414.95001220703125,895496
2025-03-07,405.8500061035156,415.0,403.6000061035156,408.75,644999
2025-03-10,414.70001220703125,423.0,403.1000061035156,405.8500061035156,649020
2025-03-11,420.1000061035156,426.0,406.0,413.0,503076
2025-03-12,428.54998779296875,431.0,413.1499938964844,416.0,424023
2025-03-13,422.95001220703125,434.6499938964844,420.1000061035156,434.6499938964844,308000
2025-03-17,416.3999938964844,423.45001220703125,405.70001220703125,417.3500061035156,333108
2025-03-18,416.3999938964844,416.3999938964844,416.3999938964844,416.3999938964844,0
2025-03-19,417.54998779296875,434.0,392.6000061035156,420.70001220703125,273920
2025-03-20,433.8999938964844,449.0,420.5,425.0,908383
2025-03-21,444.8999938964844,457.0,436.29998779296875,442.75,591909
2025-03-24,442.0,451.20001220703125,435.3999938964844,442.1499938964844,338406
2025-03-25,448.6499938964844,463.04998779296875,440.1499938964844,442.0,568937
2025-03-26,432.45001220703125,450.70001220703125,431.0,447.54998779296875,187760
2025-03-27,442.79998779296875,445.0,427.04998779296875,432.45001220703125,186346
2025-03-28,445.8500061035156,458.45001220703125,442.0,448.6000061035156,318735
2025-04-01,453.29998779296875,456.8500061035156,435.20001220703125,437.25,260203
2025-04-02,435.45001220703125,460.0,433.0,450.0,223197
2025-04-03,435.95001220703125,444.45001220703125,419.8500061035156,440.0,200337
2025-04-04,434.1000061035156,437.8999938964844,426.70001220703125,435.0,130455
2025-04-07,417.29998779296875,420.45001220703125,361.1000061035156,361.1000061035156,230337
2025-04-08,425.75,437.3999938964844,421.0,421.0,213789
2025-04-09,422.70001220703125,430.6000061035156,415.0,427.8500061035156,121866
2025-04-11,415.20001220703125,434.8999938964844,407.1000061035156,434.8999938964844,287409
2025-04-15,410.3999938964844,420.45001220703125,409.0,418.8999938964844,295918
2025-04-16,399.75,413.95001220703125,398.70001220703125,412.0,234255
2025-04-17,402.54998779296875,405.1000061035156,394.54998779296875,401.95001220703125,161590
2025-04-21,402.75,408.25,397.79998779296875,404.6499938964844,286586
2025-04-22,395.54998779296875,407.0,393.0,402.79998779296875,303912
2025-04-23,398.1499938964844,402.0,387.3999938964844,396.6499938964844,206559
2025-04-24,389.45001220703125,398.1499938964844,387.54998779296875,398.1499938964844,387625
2025-04-25,386.5,393.0,381.3999938964844,387.25,121550
2025-04-28,378.54998779296875,387.29998779296875,376.1000061035156,384.95001220703125,228628
2025-04-29,374.54998779296875,380.54998779296875,370.0,379.0,150163
2025-04-30,364.8999938964844,374.75,361.0,371.0,284657
2025-05-02,354.79998779296875,368.45001220703125,351.3999938964844,363.04998779296875,358328
2025-05-05,348.70001220703125,361.6499938964844,344.25,350.54998779296875,517960
2025-05-06,348.5,356.0,346.0,349.54998779296875,753895
2025-05-07,359.54998779296875,371.70001220703125,330.0,342.0,1235223
2025-05-08,360.70001220703125,369.75,353.70001220703125,364.95001220703125,398600
2025-05-09,355.6000061035156,359.79998779296875,349.04998779296875,359.0,238658
2025-05-12,368.04998779296875,372.79998779296875,360.0,360.0,184051
2025-05-13,370.6499938964844,378.5,368.1499938964844,370.04998779296875,158062
2025-05-14,385.70001220703125,401.04998779296875,367.5,375.0,801677
2025-05-15,386.20001220703125,394.70001220703125,378.29998779296875,388.79998779296875,485223
2025-05-16,397.75,399.29998779296875,382.75,388.70001220703125,204664
2025-05-19,401.6000061035156,406.0,397.1000061035156,397.1499938964844,226995
2025-05-20,400.54998779296875,407.0,398.3500061035156,405.0,276645
2025-05-21,391.54998779296875,401.6000061035156,389.04998779296875,400.54998779296875,278461
2025-05-22,389.29998779296875,394.5,385.6499938964844,391.0,225798
2025-05-23,389.45001220703125,395.0,385.8999938964844,386.04998779296875,319167
2025-05-26,383.6499938964844,394.6000061035156,382.0,389.3999938964844,144571
2025-05-27,375.25,385.5,373.0,384.75,296851
2025-05-28,352.8500061035156,390.70001220703125,340.1000061035156,390.70001220703125,1561930
2025-05-29,347.04998779296875,360.0,345.0,360.0,684686
2025-05-30,338.5,360.0,327.0,347.1499938964844,2805645
