Price,Close,High,Low,Open,Volume
Ticker,BESTAGRO.NS,BESTAGRO.NS,BESTAGRO.NS,BESTAGRO.NS,BESTAGRO.NS
Date,,,,,
2022-11-10,1512.28857421875,1556.2117230544898,1494.7790403639897,1541.040088867767,108412
2022-11-11,1514.2286376953125,1536.9611933228393,1502.2405108691137,1520.148013647686,42649
2022-11-14,1539.5975341796875,1550.0435770208403,1493.3861575070612,1526.0176541975848,67643
2022-11-15,1654.1060791015625,1690.269261195811,1511.1942364664137,1547.0092414122932,447865
2022-11-16,1661.9156494140625,1718.6227383195408,1629.483198293568,1631.572382543587,225315
2022-11-17,1624.9068603515625,1670.0734620611381,1596.7522395749954,1662.4130793332195,112351
2022-11-18,1627.195068359375,1641.4713032903214,1591.7780314482566,1639.7800877091179,50216
2022-11-21,1640.3272705078125,1665.3479336830608,1576.0094666839013,1635.5518879511837,106028
2022-11-22,1656.0958251953125,1673.1577201387397,1635.6017074728773,1650.4748347726113,104638
2022-11-23,1618.291015625,1690.3189916996396,1608.690580635633,1661.4182248988914,251928
2022-11-24,1649.3804931640625,1656.443983761166,1629.5827299704445,1646.495371246084,128477
2022-11-25,1588.6441650390625,1669.3771798802802,1562.9270259784985,1660.9208592432228,226521
2022-11-28,1591.4794921875,1610.6305712396477,1522.1377116771928,1601.4281046821222,216267
2022-11-29,1584.614990234375,1610.680305463934,1577.4519166277728,1599.6870404720403,44804
2022-11-30,1569.3935546875,1602.6716134981195,1554.9680671800713,1598.990675607914,122596
2022-12-01,1633.4129638671875,1655.4491654482683,1561.9322053808783,1581.779639286055,155683
2022-12-02,1633.8607177734375,1656.4440201009058,1624.6084593542218,1647.490268640901,105746
2022-12-05,1700.71533203125,1765.8787448701191,1637.0940027299002,1644.4558789343748,368842
2022-12-06,1666.3427734375,1735.8339277086834,1660.4233976790642,1702.257361098936,129281
2022-12-07,1668.43212890625,1703.202481454528,1652.4645570654036,1677.3360886286998,70095
2022-12-08,1628.388916015625,1692.2091670076973,1621.623811048765,1680.0719085328847,70480
2022-12-09,1582.3267822265625,1657.3393430633482,1569.0950793245422,1636.5467191214684,121934
