Price,Close,High,Low,Open,Volume
Ticker,DIGJAMLMTD.NS,DIGJAMLMTD.NS,DIGJAMLMTD.NS,DIGJAMLMTD.NS,DIGJAMLMTD.NS
Date,,,,,
2016-07-13,466.20001220703125,499.5,452.3999938964844,475.79998779296875,9338
2016-07-14,439.5,484.5,439.5,471.0,6509
2016-07-15,418.5,421.5,418.5,418.5,1891
2016-07-18,399.0,408.0,399.0,400.5,5305
2016-07-19,379.5,396.0,379.5,388.5,1247
2016-07-20,361.5,361.5,361.5,361.5,430
2016-07-21,379.5,379.5,343.5,349.5,5229
2016-07-22,397.5,397.5,379.5,397.5,2429
2016-07-25,417.0,417.0,414.0,417.0,740
2016-07-26,436.5,436.5,403.5,435.0,5358
2016-07-27,418.5,471.0,408.0,462.0,10754
2016-07-28,412.5,447.0,405.0,424.5,10320
2016-07-29,403.5,426.0,399.0,426.0,4931
2016-08-01,399.0,427.5,376.5,427.5,5567
2016-08-02,394.5,411.0,388.5,393.0,5567
2016-08-03,367.5,399.0,363.0,390.0,3673
2016-08-04,355.5,388.5,348.0,367.5,3353
2016-08-05,354.0,367.5,349.5,349.5,2750
2016-08-08,351.0,366.0,349.5,354.0,3364
2016-08-09,327.0,355.5,310.5,348.0,7435
2016-08-10,321.0,333.0,315.0,330.0,2638
2016-08-11,307.5,325.5,304.5,310.5,2615
2016-08-12,324.0,343.5,307.5,307.5,3867
2016-08-16,313.5,346.5,307.5,336.0,2298
2016-08-17,316.5,327.0,304.5,316.5,2041
2016-08-18,316.5,328.5,312.0,315.0,848
2016-08-19,312.0,324.0,309.0,312.0,1835
2016-08-22,307.5,321.0,303.0,312.0,1412
2016-08-23,315.0,330.0,306.0,315.0,3121
2016-08-24,328.5,336.0,307.5,307.5,6505
2016-08-25,328.5,342.0,324.0,330.0,2830
2016-08-26,364.5,375.0,319.5,324.0,12545
2016-08-29,361.5,382.5,355.5,382.5,8126
2016-08-30,345.0,375.0,342.0,375.0,4079
2016-08-31,333.0,351.0,333.0,333.0,5960
2016-09-01,324.0,343.5,321.0,324.0,2945
2016-09-02,315.0,330.0,312.0,330.0,2467
2016-09-06,310.5,321.0,306.0,315.0,4230
2016-09-07,345.0,354.0,312.0,312.0,9230
2016-09-08,337.5,363.0,324.0,342.0,10139
2016-09-09,342.0,352.5,330.0,339.0,5086
2016-09-12,324.0,346.5,303.0,330.0,6790
2016-09-14,327.0,342.0,319.5,327.0,5255
2016-09-15,328.5,336.0,325.5,330.0,938
2016-09-16,327.0,336.0,324.0,328.5,1160
2016-09-19,324.0,340.5,321.0,336.0,5038
2016-09-20,324.0,330.0,316.5,324.0,3699
2016-09-21,327.0,340.5,318.0,318.0,5176
2016-09-22,330.0,342.0,322.5,330.0,6109
2016-09-23,319.5,339.0,318.0,330.0,3889
2016-09-26,321.0,330.0,313.5,330.0,1445
2016-09-27,312.0,325.5,310.5,321.0,4598
2016-09-28,313.5,324.0,307.5,312.0,7890
2016-09-29,289.5,321.0,285.0,321.0,7206
2016-09-30,303.0,312.0,273.0,297.0,5771
2016-10-03,312.0,315.0,298.5,300.0,4402
2016-10-04,310.5,315.0,303.0,303.0,2334
2016-10-05,310.5,319.5,306.0,307.5,2037
2016-10-06,310.5,325.5,307.5,325.5,1543
2016-10-07,322.5,339.0,307.5,307.5,15820
2016-10-10,334.5,340.5,322.5,330.0,4940
2016-10-13,345.0,354.0,333.0,351.0,10560
2016-10-14,414.0,414.0,345.0,345.0,33689
2016-10-17,492.0,496.5,438.0,465.0,121997
2016-10-18,460.5,508.5,450.0,508.5,45814
2016-10-19,450.0,471.0,441.0,471.0,17236
2016-10-20,444.0,454.5,409.5,441.0,16807
2016-10-21,471.0,480.0,432.0,432.0,30606
2016-10-24,492.0,508.5,447.0,478.5,41068
2016-10-25,495.0,522.0,474.0,493.5,35699
2016-10-26,507.0,516.0,480.0,484.5,22631
2016-10-27,486.0,510.0,474.0,507.0,14597
2016-10-28,472.5,502.5,463.5,495.0,19147
2016-11-01,480.0,498.0,471.0,480.0,13253
2016-11-02,466.5,487.5,465.0,474.0,11028
2016-11-03,451.5,484.5,444.0,468.0,9827
2016-11-04,447.0,462.0,424.5,462.0,14551
2016-11-07,447.0,462.0,441.0,445.5,4918
2016-11-08,441.0,460.5,436.5,450.0,2891
2016-11-09,430.5,450.0,370.5,400.5,23170
2016-11-10,424.5,460.5,412.5,435.0,8511
2016-11-11,400.5,421.5,397.5,421.5,4748
2016-11-15,364.5,396.0,363.0,393.0,5052
2016-11-16,361.5,390.0,346.5,373.5,6906
2016-11-17,345.0,370.5,343.5,363.0,3920
2016-11-18,342.0,369.0,339.0,369.0,3559
2016-11-21,315.0,345.0,312.0,340.5,5201
2016-11-22,322.5,334.5,315.0,318.0,6338
2016-11-23,358.5,367.5,324.0,324.0,8898
2016-11-24,361.5,384.0,343.5,357.0,7998
2016-11-25,370.5,387.0,360.0,360.0,4743
2016-11-28,360.0,378.0,352.5,370.5,3678
2016-11-29,366.0,381.0,360.0,381.0,6167
2016-11-30,409.5,418.5,369.0,376.5,15265
2016-12-01,394.5,420.0,393.0,418.5,3395
2016-12-02,384.0,397.5,379.5,397.5,3933
2016-12-05,381.0,393.0,372.0,384.0,1934
2016-12-06,387.0,403.5,370.5,370.5,2476
2016-12-07,382.5,397.5,378.0,390.0,1526
2016-12-08,385.5,399.0,382.5,382.5,1893
2016-12-09,408.0,447.0,382.5,385.5,15693
2016-12-12,405.0,415.5,390.0,414.0,2930
2016-12-13,396.0,405.0,394.5,402.0,1356
2016-12-14,388.5,417.0,385.5,402.0,7269
2016-12-15,388.5,397.5,384.0,388.5,4382
2016-12-16,382.5,396.0,379.5,396.0,3622
2016-12-19,379.5,393.0,376.5,378.0,3189
2016-12-20,370.5,384.0,369.0,379.5,1713
2016-12-21,370.5,393.0,366.0,367.5,6693
2016-12-22,340.5,372.0,336.0,367.5,16795
2016-12-23,345.0,355.5,336.0,345.0,4786
2016-12-26,340.5,346.5,333.0,345.0,2628
2016-12-27,351.0,354.0,337.5,337.5,1945
2016-12-28,349.5,360.0,346.5,354.0,1943
2016-12-29,349.5,358.5,346.5,355.5,1467
2016-12-30,352.5,360.0,340.5,354.0,3998
2017-01-02,361.5,366.0,345.0,349.5,2767
2017-01-03,367.5,375.0,361.5,361.5,4304
2017-01-04,376.5,403.5,372.0,373.5,11672
2017-01-05,385.5,396.0,372.0,379.5,11657
2017-01-06,378.0,396.0,372.0,387.0,5756
2017-01-09,378.0,390.0,375.0,381.0,3863
2017-01-10,373.5,384.0,366.0,381.0,5184
2017-01-11,376.5,390.0,373.5,376.5,8290
2017-01-12,378.0,393.0,372.0,379.5,5003
2017-01-13,376.5,387.0,373.5,376.5,2045
2017-01-16,370.5,381.0,370.5,379.5,4068
2017-01-17,369.0,379.5,367.5,376.5,4506
2017-01-18,387.0,394.5,370.5,370.5,18245
2017-01-19,396.0,435.0,390.0,390.0,55677
2017-01-20,387.0,399.0,384.0,394.5,4309
2017-01-23,390.0,400.5,387.0,387.0,4250
2017-01-24,381.0,402.0,376.5,390.0,9672
2017-01-25,381.0,387.0,372.0,381.0,7038
2017-01-27,376.5,397.5,375.0,381.0,10485
2017-01-30,379.5,388.5,373.5,378.0,6212
2017-01-31,376.5,387.0,375.0,378.0,3286
2017-02-01,379.5,385.5,376.5,378.0,3352
2017-02-02,376.5,385.5,375.0,378.0,2792
2017-02-03,394.5,402.0,376.5,378.0,10096
2017-02-06,399.0,408.0,397.5,397.5,8823
2017-02-07,403.5,423.0,393.0,397.5,15426
2017-02-08,405.0,423.0,402.0,408.0,8966
2017-02-09,394.5,402.0,381.0,400.5,10583
2017-02-10,390.0,408.0,388.5,394.5,3743
2017-02-13,376.5,390.0,373.5,390.0,9093
2017-02-14,373.5,384.0,372.0,375.0,4313
