Price,Close,High,Low,Open,Volume
Ticker,GODAVARIB.NS,GODAVARIB.NS,GODAVARIB.NS,GODAVARIB.NS,GODAVARIB.NS
Date,,,,,
2024-10-30,343.20001220703125,354.45001220703125,308.0,308.0,8038663
2024-10-31,351.8999938964844,360.0,345.5,360.0,2101742
2024-11-01,355.95001220703125,360.25,352.8999938964844,355.0,451367
2024-11-04,348.6499938964844,354.0,338.1000061035156,353.04998779296875,455784
2024-11-05,348.1000061035156,353.95001220703125,344.3500061035156,346.0,320489
2024-11-06,338.20001220703125,351.5,335.1000061035156,350.0,395598
2024-11-07,356.70001220703125,373.0,327.54998779296875,337.8999938964844,937722
2024-11-08,352.0,371.95001220703125,342.79998779296875,364.95001220703125,1195359
2024-11-11,331.20001220703125,349.6499938964844,327.29998779296875,349.6499938964844,371927
2024-11-12,312.6499938964844,332.54998779296875,310.0,325.0,442904
2024-11-13,316.29998779296875,323.29998779296875,309.0,314.6499938964844,361841
2024-11-14,313.04998779296875,322.8500061035156,310.3500061035156,319.0,150480
2024-11-18,307.3500061035156,315.6499938964844,303.75,312.95001220703125,178971
2024-11-19,299.45001220703125,312.0,288.29998779296875,304.29998779296875,945090
2024-11-21,294.54998779296875,297.6499938964844,290.5,297.6499938964844,171506
2024-11-22,277.79998779296875,299.20001220703125,274.1000061035156,295.1000061035156,325080
2024-11-25,280.8999938964844,290.95001220703125,280.0,280.0,129681
2024-11-26,331.8999938964844,337.04998779296875,279.0,279.0,1374254
2024-11-27,343.8500061035156,351.70001220703125,329.20001220703125,344.04998779296875,1107554
2024-11-28,352.0,360.8500061035156,334.70001220703125,349.8999938964844,757085
2024-11-29,353.70001220703125,364.70001220703125,348.04998779296875,352.0,440702
2024-12-02,345.8999938964844,360.0,341.5,353.0,391673
2024-12-03,349.1499938964844,368.0,341.79998779296875,351.75,1252310
2024-12-04,366.3999938964844,374.5,350.04998779296875,356.95001220703125,612198
2024-12-05,391.8500061035156,396.0,363.0,375.0,1994300
2024-12-06,390.20001220703125,394.0,376.04998779296875,390.75,481084
2024-12-09,393.25,408.6000061035156,385.54998779296875,390.0,803572
2024-12-10,384.75,393.8500061035156,380.0,393.0,369198
2024-12-11,369.8500061035156,388.0,367.3500061035156,385.20001220703125,361077
2024-12-12,362.3999938964844,372.20001220703125,357.6000061035156,370.0,243138
2024-12-13,355.95001220703125,364.45001220703125,351.1000061035156,360.0,258293
2024-12-16,358.75,369.5,355.5,361.20001220703125,362382
2024-12-17,351.6499938964844,361.0,348.3500061035156,360.6499938964844,215031
