Price,Close,High,Low,Open,Volume
Ticker,JAYNECOIND.NS,JAYNECOIND.NS,JAYNECOIND.NS,JAYNECOIND.NS,JAYNECOIND.NS
Date,,,,,
2002-07-01,8.5,8.5,7.25,7.25,10646
2002-07-02,10.149999618530273,10.199999809265137,9.899999618530273,10.100000381469727,31756
2002-07-03,10.350000381469727,11.399999618530273,10.25,10.949999809265137,19820
2002-07-04,10.050000190734863,10.699999809265137,9.5,10.050000190734863,20305
2002-07-05,10.350000381469727,10.699999809265137,10.0,10.5,8795
2002-07-08,11.25,11.399999618530273,10.800000190734863,11.0,15674
2002-07-09,10.449999809265137,11.050000190734863,10.25,11.0,10470
2002-07-10,9.949999809265137,10.5,9.5,10.5,5437
2002-07-11,9.449999809265137,10.0,9.25,10.0,3051
2002-07-12,9.649999618530273,9.649999618530273,8.800000190734863,9.149999618530273,3500
2002-07-15,8.800000190734863,9.600000381469727,8.800000190734863,9.350000381469727,2040
2002-07-16,8.5,9.399999618530273,8.0,9.399999618530273,5463
2002-07-17,8.5,8.5,8.149999618530273,8.149999618530273,1800
2002-07-18,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,200
2002-07-19,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,100
2002-07-22,8.199999809265137,8.399999618530273,8.199999809265137,8.350000381469727,550
2002-07-23,7.5,7.5,7.400000095367432,7.400000095367432,350
2002-07-24,7.150000095367432,7.5,6.75,7.25,5350
2002-07-25,7.349999904632568,7.449999809265137,7.349999904632568,7.449999809265137,800
2002-07-26,7.75,7.75,7.75,7.75,100
2002-07-29,7.0,7.0,7.0,7.0,500
2002-07-30,6.900000095367432,7.0,6.900000095367432,7.0,1032
2002-07-31,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,300
2002-08-01,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,84
2002-08-02,6.0,6.75,6.0,6.75,710
2002-08-05,6.349999904632568,6.5,5.699999809265137,6.050000190734863,9050
2002-08-06,6.099999904632568,6.099999904632568,6.099999904632568,6.099999904632568,100
2002-08-07,6.099999904632568,6.099999904632568,6.099999904632568,6.099999904632568,0
2002-08-08,6.099999904632568,6.099999904632568,5.699999809265137,5.699999809265137,201
2002-08-09,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,1
2002-08-12,5.25,5.25,5.25,5.25,1
2002-08-13,5.25,5.25,5.25,5.25,0
2002-08-14,5.400000095367432,5.800000190734863,4.75,4.75,77
2002-08-15,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,0
2002-08-16,5.400000095367432,5.800000190734863,5.400000095367432,5.800000190734863,2000
2002-08-19,5.849999904632568,5.849999904632568,5.050000190734863,5.849999904632568,4
2002-08-20,5.349999904632568,5.949999809265137,5.300000190734863,5.900000095367432,4
2002-08-21,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,1
2002-08-22,5.400000095367432,5.400000095367432,4.599999904632568,4.599999904632568,2
2002-08-23,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,510
2002-08-26,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,0
2002-08-27,5.5,5.5,5.5,5.5,100
2002-08-28,5.5,5.949999809265137,5.5,5.949999809265137,230
2002-08-29,5.800000190734863,5.800000190734863,5.099999904632568,5.099999904632568,815
2002-08-30,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0
2002-09-02,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0
2002-09-03,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0
2002-09-04,6.25,6.949999809265137,4.699999809265137,4.699999809265137,11
2002-09-05,6.25,6.25,6.25,6.25,0
2002-09-06,6.25,6.25,6.25,6.25,0
2002-09-09,6.25,6.25,6.25,6.25,0
2002-09-10,6.25,6.25,6.25,6.25,0
2002-09-11,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,2
2002-09-12,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,0
2002-09-13,6.25,6.25,6.25,6.25,5
2002-09-16,6.25,6.25,6.25,6.25,0
2002-09-17,6.25,6.25,6.25,6.25,0
2002-09-18,6.25,6.25,6.25,6.25,0
2002-09-19,5.0,5.0,5.0,5.0,100
2002-09-20,5.0,5.0,5.0,5.0,0
2002-09-23,5.0,5.0,5.0,5.0,100
2002-09-24,5.0,5.0,5.0,5.0,0
2002-09-25,5.0,5.0,5.0,5.0,0
2002-09-26,5.0,5.0,5.0,5.0,0
2002-09-27,5.0,5.0,5.0,5.0,0
2002-09-30,5.0,5.0,5.0,5.0,0
2002-10-01,5.0,5.0,5.0,5.0,0
2002-10-02,5.0,5.0,5.0,5.0,0
2002-10-03,5.0,5.0,5.0,5.0,0
2002-10-04,4.25,4.25,4.25,4.25,668
2002-10-07,4.25,4.25,4.25,4.25,0
2002-10-08,4.25,4.25,4.25,4.25,0
2002-10-09,4.25,4.25,4.25,4.25,0
2002-10-10,4.25,4.25,4.25,4.25,0
2002-10-11,4.25,4.25,4.25,4.25,0
2002-10-14,4.0,4.0,4.0,4.0,18
2002-10-15,4.0,4.0,4.0,4.0,0
2002-10-16,4.0,4.0,4.0,4.0,0
2002-10-17,4.0,4.0,4.0,4.0,0
2002-10-18,4.0,4.0,4.0,4.0,0
2002-10-21,4.0,4.0,4.0,4.0,0
2002-10-22,4.0,4.0,4.0,4.0,0
2002-10-23,4.0,4.0,4.0,4.0,0
2002-10-24,4.0,4.0,4.0,4.0,0
2002-10-25,4.0,4.0,4.0,4.0,0
2002-10-28,4.0,4.0,4.0,4.0,0
2002-10-29,4.0,4.0,4.0,4.0,0
2002-10-30,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,35
2002-10-31,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,950
2002-11-01,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0
2002-11-04,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0
2002-11-05,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0
2002-11-06,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0
2002-11-07,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,0
2002-11-08,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,200
2002-11-11,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2002-11-12,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2002-11-13,4.25,4.25,4.25,4.25,490
2002-11-14,4.25,4.25,4.25,4.25,0
2002-11-15,5.0,5.0,5.0,5.0,194
2002-11-18,4.0,4.0,4.0,4.0,101
2002-11-19,4.0,4.0,4.0,4.0,0
2002-11-20,4.099999904632568,4.800000190734863,3.549999952316284,3.549999952316284,944
2002-11-21,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,1
2002-11-22,3.799999952316284,3.799999952316284,2.6500000953674316,2.6500000953674316,1501
2002-11-25,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,1
2002-11-26,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,0
2002-11-27,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,0
2002-11-28,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,1
2002-11-29,3.25,3.25,3.25,3.25,1
2002-12-02,3.25,3.25,3.25,3.25,0
2002-12-03,3.25,3.25,3.25,3.25,0
2002-12-04,3.25,3.25,3.25,3.25,0
2002-12-05,3.25,3.25,3.25,3.25,0
2002-12-06,3.25,3.25,3.25,3.25,0
2002-12-09,5.0,5.0,4.050000190734863,4.050000190734863,1003
2002-12-10,5.0,5.0,5.0,5.0,0
2002-12-11,4.75,5.0,4.75,5.0,290
2002-12-12,4.75,4.75,4.75,4.75,0
2002-12-13,4.75,4.75,4.75,4.75,0
2002-12-16,4.75,4.75,4.75,4.75,0
2002-12-17,4.75,4.75,4.150000095367432,4.5,135
2002-12-18,4.25,4.300000190734863,4.25,4.300000190734863,100
2002-12-19,4.25,4.25,4.25,4.25,234
2002-12-20,4.25,4.25,4.25,4.25,0
2002-12-23,4.75,4.75,4.099999904632568,4.099999904632568,640
2002-12-24,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,100
2002-12-25,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2002-12-26,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2002-12-27,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2002-12-30,4.0,4.0,4.0,4.0,240
2002-12-31,4.0,4.0,4.0,4.0,0
2003-01-01,4.0,4.0,4.0,4.0,0
2003-01-02,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,2800
2003-01-03,4.25,4.25,4.25,4.25,3700
2003-01-06,4.25,4.25,4.25,4.25,100
2003-01-07,4.25,4.25,4.25,4.25,0
2003-01-08,4.25,4.25,4.25,4.25,2000
2003-01-09,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,100
2003-01-10,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0
2003-01-13,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0
2003-01-14,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0
2003-01-15,4.5,4.5,4.5,4.5,200
2003-01-16,4.150000095367432,4.449999809265137,4.150000095367432,4.449999809265137,4620
2003-01-17,4.150000095367432,4.449999809265137,4.150000095367432,4.449999809265137,172
2003-01-20,4.150000095367432,5.0,4.150000095367432,4.949999809265137,3166
2003-01-21,4.5,4.900000095367432,4.5,4.900000095367432,3300
2003-01-22,4.300000190734863,4.949999809265137,4.300000190734863,4.75,1255
2003-01-23,4.599999904632568,5.0,4.449999809265137,5.0,582
2003-01-24,4.699999809265137,5.449999809265137,4.599999904632568,4.599999904632568,202
2003-01-27,4.5,4.599999904632568,4.5,4.599999904632568,2500
2003-01-28,5.0,5.0,4.5,4.5,1000
2003-01-29,5.0,5.0,5.0,5.0,0
2003-01-30,5.0,5.0,5.0,5.0,0
2003-01-31,4.300000190734863,4.400000095367432,4.300000190734863,4.400000095367432,800
2003-02-03,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2003-02-04,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2003-02-05,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2003-02-06,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2003-02-07,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2003-02-10,4.0,4.0,4.0,4.0,140
2003-02-11,4.0,4.0,3.950000047683716,3.950000047683716,155
2003-02-12,4.0,4.0,4.0,4.0,0
2003-02-13,4.0,4.0,4.0,4.0,0
2003-02-14,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,100
2003-02-17,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0
2003-02-18,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0
2003-02-19,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0
2003-02-20,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0
2003-02-21,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,0
2003-02-24,3.0999999046325684,3.5,3.0999999046325684,3.5,205
2003-02-25,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-02-26,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-02-27,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-02-28,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-03,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-04,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-05,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-06,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-07,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-10,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-11,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-12,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-13,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-14,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,0
2003-03-17,3.25,3.25,3.25,3.25,970
2003-03-18,3.25,3.25,3.25,3.25,0
2003-03-19,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,100
2003-03-20,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-21,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-24,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-25,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-26,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-27,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-28,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0
2003-03-31,4.25,4.25,4.25,4.25,500
2003-04-01,4.25,4.25,4.25,4.25,0
2003-04-02,4.25,4.25,4.25,4.25,0
2003-04-03,3.5,4.849999904632568,3.5,4.849999904632568,2
2003-04-04,3.5,3.5,3.5,3.5,0
2003-04-07,3.5,3.5,3.5,3.5,0
2003-04-08,3.5,3.5,3.5,3.5,0
2003-04-09,3.5,3.5,3.5,3.5,0
2003-04-10,3.5,3.5,3.5,3.5,0
2003-04-11,3.5,3.5,3.5,3.5,0
2003-04-14,3.5,3.5,3.5,3.5,0
2003-04-15,3.5,3.5,3.5,3.5,0
2003-04-16,3.5,3.5,3.5,3.5,0
