Price,Close,High,Low,Open,Volume
Ticker,JINDALPHOT.NS,JINDALPHOT.NS,JINDALPHOT.NS,JINDALPHOT.NS,JINDALPHOT.NS
Date,,,,,
2005-04-07,98.18037414550781,104.05931211327251,24.580939966468158,24.580939966468158,5790386
2005-04-08,117.82463073730469,117.82463073730469,98.32375421658672,98.73343385144517,4026244
2005-04-11,116.20638275146484,132.24543731769916,113.74829274600228,122.90468542231794,5215149
2005-04-12,137.5098876953125,139.45588014719712,113.89169665217847,116.10398306786374,6419466
2005-04-13,128.55831909179688,143.2659183872215,126.63281664859568,143.2659183872215,8707832
2005-04-15,121.32743072509766,127.22685259451589,115.98107425575186,127.22685259451589,4508254
2005-04-18,122.49500274658203,127.82088101784531,116.41122242282015,119.21755343728107,3191587
2005-04-19,117.14867401123047,126.1821660180346,115.18219183572302,123.92891239217963,1572962
2005-04-20,120.58999633789062,122.43356398027947,117.39446921645913,122.3721067882211,1687556
2005-04-21,122.86373138427734,124.83020113295527,119.62723680817598,120.85628194400975,952261
2005-04-22,126.94007110595703,129.66445522721833,121.8395191414222,122.90469485037374,1462578
2005-04-25,124.31809997558594,127.30877804320998,123.37582630165386,125.36278584607042,485672
2005-04-26,137.386962890625,139.1690856368888,124.54342224062414,127.30877363073844,3604664
2005-04-27,126.44843292236328,138.75938435996937,124.17468993611232,135.60482502110332,2000885
2005-04-28,126.07972717285156,130.2789726513216,124.19519225444539,127.37022941126523,1123224
2005-04-29,127.43167877197266,131.4670550117806,121.34789815957973,126.38699291225271,2269500
2005-05-02,127.43167877197266,130.01268334023155,126.24360102662051,129.0499321742214,708820
2005-05-03,128.0462188720703,129.45962325428152,126.59184714133707,127.82089228355889,416171
2005-05-04,133.1057891845703,134.53967104626446,128.23056369959326,128.6402495214832,869337
2005-05-05,129.45960998535156,135.6048350666073,127.45216074040312,135.6048350666073,620993
2005-05-06,128.3944549560547,130.87303523021578,127.4521811988129,129.45963076599375,224201
2005-05-09,127.16541290283203,129.95124220632897,126.63282498462664,129.64398089530906,187084
2005-05-10,128.8450927734375,132.12255482765994,127.49314553912927,128.35348457425712,298130
2005-05-11,127.53411102294922,129.68494006437572,123.35535498809296,127.8208948115559,221168
2005-05-12,137.837646484375,139.2510510868425,129.4596434284766,131.5080482036302,816392
2005-05-13,137.40744018554688,141.34039178488172,135.19516648274586,138.88230166402738,411651
2005-05-16,138.84133911132812,140.02941686697466,136.42421625282518,138.4726206431591,316864
2005-05-17,143.96347045898438,152.40768350991067,142.68196454396454,152.40768350991067,173430
2005-05-18,146.4120635986328,148.24278837822703,142.84216199943117,144.62711969374203,241401
2005-05-19,146.32052612304688,148.65470257745474,144.62711642697275,148.65470257745474,95665
2005-05-20,146.48072814941406,147.37320703939065,144.3296336696269,147.37320703939065,111657
2005-05-23,157.37350463867188,158.12868214743995,145.1305417697819,146.45781467677457,351185
2005-05-24,182.24847412109375,187.19142993287048,151.03465826082282,151.03465826082282,2457862
2005-05-25,172.4541015625,181.24157504337876,170.07415795529946,180.738123312714,1033552
2005-05-26,182.86631774902344,191.7453242694448,171.63025835929216,173.46098291694196,2477282
2005-05-27,174.55941772460938,183.9876435910449,172.93465181711608,182.86632938208064,665396
2005-05-30,176.18418884277344,185.77260667675952,174.55942288722747,174.62808040793718,893017
2005-05-31,177.37417602539062,180.64659865767595,175.58923201538315,177.8776277825762,439912
2005-06-01,175.31460571289062,179.8456436906497,173.91867513549732,179.06758944990725,208265
2005-06-02,172.15658569335938,177.76317013909966,171.2183398799949,176.20706185811383,148644
2005-06-03,171.51583862304688,173.87289155911503,170.2343327753381,173.87289155911503,126227
2005-06-06,172.59140014648438,177.511478978891,171.17259293701704,171.17259293701704,108162
2005-06-07,172.72872924804688,174.83405669116092,171.1726068679374,173.9186873406445,90048
2005-06-08,169.93687438964844,176.20710365937748,168.67825872138022,173.87292689474828,131736
2005-06-09,165.5659942626953,171.69890723594858,164.12429673424344,171.67603059010395,63435
2005-06-10,163.41488647460938,168.79263572084827,162.47664062672226,167.6942119836142,82797
2005-06-13,164.7192840576172,168.65533580478035,162.47664190550157,165.6346394774197,110648
2005-06-14,164.26161193847656,166.50425426105465,162.81992807691205,165.68041915225209,47755
2005-06-15,168.51805114746094,174.7196223032107,163.4377942834305,164.76506735696816,132297
2005-06-16,162.04185485839844,173.00331267884994,160.23402058538582,173.00331267884994,58384
2005-06-17,158.1287078857422,163.3462662024023,155.61146290287343,163.30049911467165,83492
2005-06-20,155.88604736328125,162.84279557573552,154.67319899484758,159.22711332751896,54957
2005-06-21,157.46505737304688,158.81522087414817,151.95000633857273,157.44218072491714,138449
2005-06-22,155.77163696289062,161.69859136283523,155.6114452792653,158.76944292212826,134761
2005-06-23,153.91802978515625,156.98449342087972,153.3230438919735,156.98449342087972,29762
2005-06-24,155.72586059570312,158.06003703081683,152.08730158612858,152.08730158612858,89515
2005-06-27,150.11927795410156,157.37351943923144,147.87664944115258,156.93872524095926,17523
2005-06-28,152.133056640625,154.23839748991008,150.80578373446804,151.03463292514863,43520
2005-06-29,148.24278259277344,152.9340120718833,147.37319421690705,151.99576617606132,123850
2005-06-30,150.02772521972656,155.61143295297933,148.79198650999507,150.98886145592581,197699
2005-07-01,148.3343048095703,153.0484243453568,146.57223776333586,153.0484243453568,22768
2005-07-04,145.22207641601562,150.98886644492185,144.2151868570427,150.98886644492185,40639
2005-07-05,141.90390014648438,148.7919904977494,140.96565431930944,145.77129426084645,40029
2005-07-06,158.90673828125,163.3920087306162,142.04120356792066,144.62710568840785,326369
2005-07-07,154.03244018554688,162.54529645515478,151.7211543480555,155.15375434642513,118376
2005-07-08,153.55189514160156,159.7076991424003,151.5380882214115,155.61145535788305,59482
2005-07-11,154.6045379638672,156.09200258248433,153.3459225416028,156.09200258248433,27542
2005-07-12,156.48104858398438,161.56130554735415,151.95001045306273,152.40769511167298,64026
2005-07-13,152.1559600830078,158.81521561791635,151.49231667848633,157.44217551412817,25935
2005-07-14,150.2336883544922,157.4421620734184,148.97505917385467,155.61143749484836,15736
2005-07-15,151.10328674316406,157.8998434034908,149.77601374835712,157.8998434034908,17703
2005-07-18,147.41897583007812,157.44218873457012,146.91552407256896,154.69609450698408,51989
2005-07-19,146.7095489501953,151.03464170614353,145.54246765177817,146.91550771801465,35470
2005-07-20,145.6111297607422,150.27946889098328,145.1076780434074,149.20392172448976,39648
2005-07-21,147.25875854492188,148.15123729016452,146.34340315435992,147.94527853519799,34344
2005-07-22,146.96127319335938,149.432750801318,146.06879440218435,149.2039153892549,22590
2005-07-25,147.1901092529297,149.20390206754078,146.45780842087294,148.28853292217883,15928
2005-07-26,148.38009643554688,149.20393158725042,147.41897381112037,148.28856226078443,26089
2005-07-27,146.00015258789062,149.15815026287117,145.10767378501183,148.24278102377627,13197
2005-07-28,146.00015258789062,146.00015258789062,146.00015258789062,146.00015258789062,0
2005-07-29,142.84217834472656,146.91553213757516,140.9656862651238,145.771327295721,15823
2005-08-01,145.67977905273438,149.2039274191644,143.94058841257072,145.54247779442628,24969
2005-08-02,144.99325561523438,149.13526644287504,144.64999558270029,146.41206283041393,28887
2005-08-03,155.93182373046875,157.671014334495,144.7186534481517,146.68667947793668,155152
2005-08-04,149.29544067382812,157.89983091805317,146.9154973722563,156.20642139067343,67311
2005-08-05,147.53341674804688,150.645634234193,146.0917188429264,148.74626539841722,35519
2005-08-08,144.7872772216797,149.66157453904947,144.19229140730812,146.45781007297884,26703
2005-08-09,144.1007843017578,146.91552223137012,142.8421687131792,146.91552223137012,19535
2005-08-10,146.32052612304688,150.57696148419657,144.2838426109712,145.08478726946856,36759
2005-08-11,145.06190490722656,151.94999560433482,144.16942611538994,151.94999560433482,29568
2005-08-12,144.764404296875,148.7462229950054,144.21518554723315,148.7462229950054,21315
2005-08-16,145.49671936035156,147.1443621368673,145.08480177151205,145.56536309887738,12392
2005-08-17,145.01612854003906,146.45781222892973,144.39825228244163,145.72552516725074,12374
