Price,Close,High,Low,Open,Volume
Ticker,MASFIN.NS,MASFIN.NS,MASFIN.NS,MASFIN.NS,MASFIN.NS
Date,,,,,
2017-10-18,208.75633239746094,217.40135244674667,199.37760663195075,210.54275774354406,53828181
2017-10-19,208.75633239746094,208.75633239746094,208.75633239746094,208.75633239746094,0
2017-10-23,215.21612548828125,217.56080282658579,204.417843920971,210.5108098970731,5079738
2017-10-24,213.7327880859375,223.92498003401596,207.35271444942424,213.7327880859375,3779877
2017-10-25,209.1072235107422,216.60381628233552,206.17238625955343,215.32780453051254,2664900
2017-10-26,210.5906219482422,212.13779423882363,205.15159945775764,210.03235487255623,929853
2017-10-27,213.2702178955078,214.9130823576075,210.5427267308095,210.5427267308095,912102
2017-10-30,210.30352783203125,213.27027285988183,207.99074241563474,213.27027285988183,432153
2017-10-31,203.1737518310547,211.49975746216225,201.61063339866777,208.94771932200015,668439
2017-11-01,209.9844970703125,210.54274949301762,201.30758473139645,203.52466271086766,749550
2017-11-02,206.01292419433594,208.9477620848779,205.03996520414785,208.9477620848779,219087
2017-11-03,204.80072021484375,209.26678440178893,204.48172084536736,206.07673229560447,176025
2017-11-06,202.72715759277344,205.7098487121331,200.65364009591974,204.48169037054552,210147
2017-11-07,197.71878051757812,205.75767935834506,197.1445671991585,203.54060146126304,313359
2017-11-08,193.84288024902344,201.61063347221256,188.4038583614045,198.1175291674315,547548
2017-11-09,189.0897216796875,196.139715961944,186.6333904821199,194.59254375128768,336486
2017-11-10,185.0223846435547,190.12646029633737,183.79422657033084,189.16944793679684,226230
2017-11-13,185.9315948486328,187.89345889150968,180.25331941855165,185.7082880264719,182985
2017-11-14,194.6722869873047,196.0120985732887,186.61742734947526,186.61742734947526,405459
2017-11-15,187.74986267089844,196.18752008136224,185.69229208191632,195.54950701835944,603528
2017-11-16,188.1167449951172,192.82206104305885,186.61742647389306,191.08348941097077,346827
2017-11-17,188.5644989013672,192.53023592774662,187.09333083540548,188.59647285927363,225996
2017-11-20,188.38861083984375,190.7392678670601,187.42915779689082,188.5645115403912,181725
2017-11-21,189.87576293945312,194.46515377388013,189.33207382458454,189.97171410564448,453756
2017-11-22,196.44796752929688,204.17156576188518,190.29147363837777,190.93111374031784,568665
2017-11-23,196.416015625,201.50111951706117,194.09734727252547,196.7038544566433,261192
2017-11-24,198.27098083496094,200.2858382373377,196.3520746003517,196.36807622170812,954777
2017-11-27,197.13558959960938,199.43828542829004,194.46512007118056,195.40858602821132,130602
2017-11-28,197.56736755371094,199.56622308114405,195.72841109881435,197.6473170899792,165018
2017-11-29,207.7855682373047,208.8409725517134,196.38406866175896,196.38406866175896,814503
2017-11-30,206.84205627441406,212.63076245998587,205.00311458238576,207.2098446128197,540597
2017-12-01,204.57139587402344,212.35895923601433,201.48516173660937,207.44975532740358,743070
2017-12-04,200.5576934814453,205.41892171460975,199.5662517449,205.41892171460975,103062
2017-12-05,208.12135314941406,210.56794660716184,197.02368100218138,200.20586583528842,218373
