Price,Close,High,Low,Open,Volume
Ticker,MATRIMONY.NS,MATRIMONY.NS,MATRIMONY.NS,MATRIMONY.NS,MATRIMONY.NS
Date,,,,,
2017-09-21,868.46240234375,983.0381650362514,860.3983939587307,945.598234922566,3338604
2017-09-22,789.022705078125,852.2865642157892,769.1507265629939,852.2865642157892,1158347
2017-09-25,769.3427124023438,803.4226543267927,753.5987157941523,783.6466528707815,382426
2017-09-26,771.022705078125,786.6226784039804,765.2146681341944,765.2146681341944,137703
2017-09-27,760.5107421875,785.1827127209835,758.3987339943549,777.598701943579,118476
2017-09-28,759.9826049804688,768.910576598253,744.5265986718274,760.5105922762656,65955
2017-09-29,763.1986083984375,777.5985821418043,760.3186136497642,766.0306149533616,55982
2017-10-03,775.1986694335938,782.3986570753918,762.2386916783572,767.9986817917957,84170
2017-10-04,780.190673828125,787.0066387024367,772.7986747853612,777.5986665542143,29829
2017-10-05,790.126708984375,794.8787130091389,778.0307520064806,782.350745011965,31612
2017-10-06,787.1506958007812,793.9186727676762,782.3507038251605,793.8226963656246,21450
2017-10-09,801.9346313476562,805.9186481021197,778.4146708014955,787.198679504155,32022
2017-10-10,823.630615234375,830.2065806471767,800.2066315127703,800.2066315127703,49582
2017-10-11,830.590576171875,835.1985564889463,823.9185759846416,823.9185759846416,50993
2017-10-12,821.614501953125,827.5185147942776,817.9185320240424,825.5985182402305,9384
2017-10-13,827.9984741210938,834.2384626217165,821.422509677125,823.9664698327322,16465
2017-10-16,835.7265625,847.1025782483351,824.7345695340074,826.5585898596595,18502
2017-10-17,835.87060546875,844.7985787297777,832.3665879263307,835.1985948805756,5806
2017-10-18,835.2465209960938,837.8385281614411,832.3185378584583,835.198532799145,7361
2017-10-19,812.7826538085938,837.1185893623435,797.2786564970486,837.1185893623435,1708
2017-10-23,828.5265502929688,839.0385437671333,811.1985920860728,823.6785704258587,15200
2017-10-24,834.7185668945312,844.7505613896244,829.0545531814214,832.4145474127392,15313
2017-10-25,835.3426513671875,837.1186250126083,825.5986439344531,829.6786372329664,12791
2017-10-26,822.9585571289062,837.0225559083757,817.9185659653872,825.118553341843,14242
2017-10-27,819.88671875,823.2467135473076,807.45472628123,818.0627567305143,11168
2017-10-30,830.446533203125,831.3585433238842,813.3105866656056,815.9985702370687,5827
2017-10-31,847.3424682617188,849.5984406837043,825.5984847321872,825.5984847321872,17835
2017-11-01,845.3745727539062,847.5826159622831,839.9986051186082,839.9986051186082,8845
2017-11-02,843.0226440429688,844.7986176995345,817.9186616818221,817.9186616818221,4292
2017-11-03,842.9266357421875,844.7506562529097,837.1666449845251,841.9186490783278,8088
2017-11-06,835.1985473632812,841.6305478950385,835.1985473632812,839.8065276300042,3993
2017-11-07,836.1586303710938,841.4386217224611,835.1986319435724,840.2866118907048,9165
2017-11-08,837.3104858398438,838.4624954592206,835.1984779699268,838.4624954592206,4423
2017-11-09,839.0864868164062,843.7425136411425,835.2944818830856,837.1185020566763,3637
2017-11-10,835.2465209960938,837.5985285830506,835.198532799145,835.2465209960938,2287
