Price,Close,High,Low,Open,Volume
Ticker,MICEL.NS,MICEL.NS,MICEL.NS,MICEL.NS,MICEL.NS
Date,,,,,
2007-05-30,264.4907531738281,287.8385305424371,197.88898788308708,205.3196082441686,25233151
2007-05-31,309.7392883300781,317.4045800986136,266.71994107104416,271.7258538155246,13624623
2007-06-01,309.7392883300781,309.7392883300781,309.7392883300781,309.7392883300781,0
2007-06-04,291.9058532714844,310.3259539266778,282.676244515868,308.9571623394929,7353690
2007-06-05,289.32470703125,293.313761053108,281.62032746693467,289.4029109057333,2895016
2007-06-06,285.1791687011719,314.3541054927561,282.79354786552364,285.49204385541816,5941910
2007-06-07,281.8549499511719,294.0958993468298,278.45249981056406,284.70988349500374,2495561
2007-06-08,263.6304016113281,280.7990299942551,260.4625929565922,280.0168421250663,1850300
2007-06-11,264.3734436035156,276.10599314069015,262.1051435320153,270.74814794799363,2125111
2007-06-12,258.9373779296875,266.56355342079326,252.64090696949685,265.6249279269409,1678411
2007-06-13,252.7191162109375,263.4348359435294,251.50673252478316,263.4348359435294,1002235
2007-06-14,298.74981689453125,303.2864170309507,255.06563134213732,257.3339314103471,6623512
2007-06-15,294.9562683105469,311.890254161419,291.39741070641753,293.3137186471026,7699952
2007-06-18,287.21282958984375,299.4146623257409,281.81583756827337,293.39194982825086,1972753
2007-06-19,304.9681091308594,313.96304661191033,282.55892454697414,288.07323760403875,6740540
2007-06-20,301.5656433105469,309.27002251871085,298.2414268064311,306.6106433479347,1965253
2007-06-21,308.83984375,318.96893140281253,300.35330601319725,303.4819682573941,2919638
2007-06-22,306.2977600097656,317.5609968712757,304.3423350786927,308.6833808126679,2439343
2007-06-25,307.9403076171875,311.92939115737124,301.99582899715017,306.2977578476607,1973232
2007-06-26,303.32550048828125,314.70608771129173,301.3700755911935,309.3482127518015,1602843
2007-06-27,302.19134521484375,311.6947112430011,299.5710830592709,301.91758692750653,1736930
2007-06-28,300.90081787109375,310.5215055886913,299.0235966844661,307.9012431684852,1286941
2007-06-29,294.7607727050781,304.8116559250944,293.4701850552033,303.8339434335075,737500
2007-07-02,300.50970458984375,303.0908799539933,292.60980058918426,297.9285590631123,810240
2007-07-03,310.8343811035156,314.4323560579988,302.2696097806881,302.2696097806881,1336598
2007-07-04,318.8515930175781,332.42224717629114,314.4323432965871,315.9575723966379,3215695
2007-07-05,307.7056884765625,326.164905807439,303.63840077336783,318.7342846157837,797105
2007-07-06,306.5715026855469,312.47689403095984,304.30320272010147,309.7392813645004,475523
2007-07-09,310.325927734375,321.47184377130634,258.11608852328476,307.7447823645986,968388
2007-07-10,307.0408630371094,316.30955908060594,305.82847916402346,310.521517390245,625182
2007-07-11,306.4541931152344,310.91255950606393,302.6997808828209,308.9180177509825,386510
2007-07-12,309.074462890625,315.5664880480052,306.8843964941193,307.78387526236264,507740
2007-07-13,306.2586364746094,316.7006280551483,303.5601704180481,312.78977827833074,437727
2007-07-16,303.1690673828125,308.95713829193477,301.21364245691416,308.80070071737293,245900
2007-07-17,302.26959228515625,310.4432542524024,299.571096306775,305.04629213305685,356695
2007-07-18,300.07952880859375,304.42054478844426,297.22459522598587,301.9176032156399,247237
2007-07-19,300.3141784667969,305.0463034396656,298.00676142532154,302.5433617984362,179522
2007-07-20,295.19097900390625,303.4819621291553,294.09591591126014,303.4819621291553,150145
2007-07-23,310.56060791015625,313.5328323802071,294.0959034136333,294.8780913037129,726998
2007-07-24,307.4319152832031,320.2203814216345,306.2586483696221,315.21449828686724,1086056
2007-07-25,302.5042419433594,308.9571504196069,298.00675846976765,305.0463004142954,255627
2007-07-26,311.77294921875,314.35409455795434,301.1354330437379,305.0462828235267,420556
2007-07-27,297.0290222167969,305.12447988694936,293.3137269438081,305.12447988694936,235157
2007-07-30,295.5820617675781,303.4819659493193,293.31376151752875,300.0013116996381,181085
