Price,Close,High,Low,Open,Volume
Ticker,PRECAM.NS,PRECAM.NS,PRECAM.NS,PRECAM.NS,PRECAM.NS
Date,,,,,
2016-02-08,156.89059448242188,163.56585223111531,136.59959010652605,145.88305739531907,11220947
2016-02-09,147.87237548828125,155.4317731665801,145.70623576525816,152.95617912988135,965485
2016-02-10,141.68338012695312,148.18181200651526,140.79924046937464,147.38607822015427,654020
2016-02-11,140.357177734375,151.01106384483379,139.16358373995843,141.63917760447725,668051
2016-02-12,139.8267059326172,144.11478941905452,138.80995054473348,140.75505543380396,242974
2016-02-15,141.7276153564453,144.95472029197848,141.02030080469882,142.39072021916334,144068
2016-02-16,139.78250122070312,143.7169204480023,138.9867673434806,142.0812564983522,135818
2016-02-17,136.2017364501953,140.44561011241132,135.36180635341046,139.73829558689158,136533
2016-02-18,136.9532470703125,138.8099460120577,135.7154567697507,136.24594603622143,187391
2016-02-19,134.0355987548828,136.5553890842976,132.93042400753353,136.15752887343237,92716
2016-02-22,133.54931640625,134.3892464986863,131.8252465342171,134.3892464986863,72829
2016-02-23,134.83132934570312,139.69409860079406,133.50511954886014,136.1575391425461,119413
2016-02-24,134.61029052734375,136.42277989600754,132.6209758890086,134.9197448674461,54548
2016-02-25,134.4334716796875,135.22919217667254,133.90298235442816,134.4334716796875,33777
2016-02-26,134.56607055664062,135.89228021421113,133.37248995936852,134.96393075573133,77484
2016-02-29,135.2733917236328,136.06911216094008,128.28869258001558,133.68193735811536,96982
2016-03-01,134.4334716796875,136.15754175042443,133.28408713556155,136.15754175042443,40065
2016-03-02,133.5050811767578,135.98067478417568,132.6209415663157,135.4059759428484,62495
2016-03-03,144.2473907470703,148.88912430363183,132.0904695275044,133.06302862143033,433925
2016-03-04,143.76113891601562,149.86169822620806,143.05382436779985,144.11478944467206,122807
2016-03-08,140.48980712890625,144.6452749315009,137.21849260654875,143.23064587220452,106067
2016-03-09,139.73829650878906,143.40747124095714,137.1742830232272,138.1910518762768,57854
2016-03-10,138.7657470703125,142.30230647823842,138.19106156288595,139.69409661307375,36130
2016-03-11,138.412109375,140.13617954823263,137.57217913582562,138.898389036913,33460
2016-03-14,135.98069763183594,139.3404314142029,135.27338312645836,137.04166264445126,26009
2016-03-15,133.28404235839844,136.15749600791614,132.70935702485465,136.15749600791614,24132
