Price,Close,High,Low,Open,Volume
Ticker,RACLGEAR.NS,RACLGEAR.NS,RACLGEAR.NS,RACLGEAR.NS,RACLGEAR.NS
Date,,,,,
2024-11-27,847.9000244140625,860.0,820.0499877929688,832.0499877929688,10640
2024-11-28,849.4000244140625,870.0,840.0,847.8499755859375,5042
2024-11-29,922.0499877929688,999.0,833.0999755859375,849.4000244140625,29477
2024-12-02,918.5,973.9500122070312,915.5,937.25,16295
2024-12-03,887.4500122070312,938.0,884.0,920.0,6333
2024-12-04,893.25,910.9500122070312,883.5999755859375,887.4500122070312,5137
2024-12-05,888.2999877929688,907.2000122070312,873.3499755859375,893.1500244140625,3625
2024-12-06,884.9000244140625,905.0,880.2999877929688,888.2999877929688,2177
2024-12-09,899.7999877929688,921.9500122070312,880.0499877929688,884.9500122070312,7254
2024-12-10,892.4500122070312,925.0,885.0,899.7999877929688,7911
2024-12-11,864.3499755859375,906.2999877929688,854.0999755859375,890.0,4044
2024-12-12,850.5499877929688,875.9000244140625,849.9500122070312,864.3499755859375,4061
2024-12-13,853.4000244140625,875.9500122070312,850.0,853.0,11278
2024-12-16,853.7000122070312,870.0,842.5,855.0,9632
2024-12-17,852.3499755859375,866.0,848.0999755859375,848.0999755859375,4554
2024-12-18,880.7000122070312,888.5999755859375,845.9500122070312,856.0,9724
2024-12-19,873.75,895.7999877929688,857.4000244140625,895.7999877929688,6038
2024-12-20,854.2999877929688,891.1500244140625,850.0,891.1500244140625,3992
2024-12-23,850.3499755859375,863.25,843.0499877929688,854.25,7776
2024-12-24,848.5499877929688,873.9000244140625,832.0999755859375,850.0499877929688,5472
2024-12-26,850.5,871.4500122070312,831.5999755859375,831.5999755859375,6265
2024-12-27,865.6500244140625,868.0,846.75,850.6500244140625,25041
2024-12-30,863.5,884.0,850.0,850.1500244140625,5634
2024-12-31,875.1500244140625,880.0,854.7000122070312,858.8499755859375,2765
2025-01-01,858.5,874.9500122070312,851.1500244140625,874.9500122070312,1380
2025-01-02,865.7000122070312,875.25,849.0,858.5,5987
2025-01-03,851.25,872.9500122070312,848.0,852.7999877929688,4860
2025-01-06,848.3499755859375,855.0,841.5499877929688,852.0499877929688,5088
2025-01-07,850.5999755859375,855.7999877929688,842.5,852.5499877929688,10439
2025-01-08,850.0999755859375,861.5,844.0499877929688,861.5,13217
2025-01-09,853.0999755859375,860.0,840.0499877929688,840.0499877929688,3209
2025-01-10,850.75,860.0,844.9500122070312,853.0499877929688,5590
2025-01-13,795.4500122070312,855.9500122070312,775.9000244140625,830.0499877929688,12512
2025-01-14,820.5,826.2000122070312,794.4000244140625,800.0,2809
2025-01-15,810.0,821.6500244140625,801.0999755859375,820.5,1499
2025-01-16,813.5999755859375,839.25,812.2999877929688,838.5999755859375,1303
2025-01-17,827.6500244140625,840.0,805.75,813.2000122070312,1384
2025-01-20,840.7999877929688,850.0,827.5,839.5499877929688,2617
2025-01-21,820.75,843.5,803.9000244140625,834.2000122070312,4545
2025-01-22,802.9500122070312,839.2000122070312,770.0,839.2000122070312,6590
2025-01-23,812.4000244140625,819.5499877929688,789.6500244140625,801.5,2087
2025-01-24,796.4500122070312,815.9500122070312,785.5,801.5,3730
2025-01-27,762.25,796.0999755859375,750.0,785.0,11485
2025-01-28,750.5,777.4500122070312,715.0999755859375,762.25,7481
2025-01-29,736.1500244140625,764.1500244140625,725.0,743.2000122070312,8293
2025-01-30,772.5,799.0,732.0499877929688,736.1500244140625,10983
2025-01-31,853.0,872.0,768.25,772.0499877929688,16178
2025-02-01,802.3499755859375,852.9500122070312,775.0,824.0499877929688,8403
2025-02-03,799.8499755859375,809.8499755859375,790.5999755859375,802.3499755859375,25886
2025-02-04,815.2999877929688,835.0,794.9500122070312,799.7999877929688,14357
2025-02-05,813.1500244140625,830.0499877929688,806.2000122070312,815.2999877929688,5028
2025-02-06,815.5999755859375,830.0,805.0,810.25,7472
2025-02-07,814.0999755859375,825.0,806.0,820.0,12266
2025-02-10,787.5,802.9000244140625,785.0,793.0,2664
2025-02-11,743.2999877929688,787.5,726.2999877929688,787.5,6083
2025-02-12,747.7000122070312,764.9500122070312,710.9500122070312,732.1500244140625,4275
2025-02-13,768.5,771.0,741.9000244140625,747.7000122070312,1835
2025-02-14,763.8499755859375,779.0,751.0,771.0,3206
2025-02-17,734.0499877929688,757.75,725.0499877929688,752.4000244140625,7413
2025-02-18,737.0,750.0,720.0,732.0,5039
2025-02-19,712.75,742.3499755859375,700.0,730.0,5408
2025-02-20,740.9000244140625,745.0,712.0,712.0,1818
2025-02-21,735.0,756.5999755859375,725.0,740.0,3280
2025-02-24,724.5999755859375,735.0,692.0999755859375,735.0,5791
2025-02-25,702.9000244140625,732.75,692.5499877929688,720.8499755859375,5296
2025-02-27,736.9500122070312,744.9500122070312,684.0,704.0,9988
2025-02-28,727.0499877929688,751.5999755859375,696.4500122070312,751.5999755859375,6623
2025-03-03,723.0,737.0,679.9500122070312,737.0,8312
2025-03-04,725.0,735.7000122070312,701.9500122070312,723.0,7577
2025-03-05,724.25,730.4000244140625,696.0499877929688,717.0,5508
2025-03-06,731.9000244140625,745.4000244140625,719.0,738.6500244140625,5732
2025-03-07,756.2999877929688,765.0,721.0,721.0,4313
2025-03-10,734.0999755859375,756.4000244140625,717.9500122070312,756.2999877929688,1923
2025-03-11,704.4000244140625,725.0,700.0,725.0,7546
2025-03-12,701.4000244140625,711.2999877929688,695.2000122070312,710.25,2060
2025-03-13,691.2000122070312,711.0999755859375,682.0499877929688,702.4500122070312,4072
2025-03-17,669.7999877929688,705.0,660.0,692.0,10937
2025-03-18,667.3499755859375,692.5499877929688,658.0499877929688,669.0,6294
2025-03-19,704.9500122070312,719.0,667.3499755859375,667.3499755859375,10140
2025-03-20,752.2999877929688,760.0,704.9500122070312,704.9500122070312,8708
2025-03-21,760.3499755859375,777.0,734.0999755859375,752.0999755859375,53870
2025-03-24,765.1500244140625,814.9500122070312,765.0,775.5499877929688,49927
2025-03-25,741.7000122070312,797.4500122070312,740.0999755859375,765.1500244140625,53956
2025-03-26,750.3499755859375,797.4500122070312,741.9000244140625,741.9000244140625,12585
2025-03-27,751.0499877929688,780.0,750.0,750.3499755859375,13831
2025-03-28,750.0,768.5999755859375,747.0999755859375,750.0,15341
2025-04-01,761.75,785.0,731.1500244140625,731.25,4276
2025-04-02,754.5999755859375,765.5999755859375,750.5,765.5999755859375,922
2025-04-03,750.2999877929688,762.0999755859375,737.7000122070312,762.0999755859375,5629
