Price,Close,High,Low,Open,Volume
Ticker,UNIECOM.NS,UNIECOM.NS,UNIECOM.NS,UNIECOM.NS,UNIECOM.NS
Date,,,,,
2024-08-13,210.0800018310547,255.99000549316406,206.0,235.0,36861026
2024-08-14,196.22999572753906,216.8000030517578,195.0,215.0,5723075
2024-08-16,189.60000610351562,201.0,188.5,198.0,3143956
2024-08-19,227.52000427246094,227.52000427246094,187.10000610351562,187.10000610351562,14174307
2024-08-20,238.41000366210938,263.989990234375,231.11000061035156,240.0,27871404
2024-08-21,227.99000549316406,241.8000030517578,225.5,241.8000030517578,5451518
2024-08-22,221.64999389648438,231.39999389648438,218.50999450683594,231.0,3141242
2024-08-23,226.02999877929688,234.3000030517578,221.41000366210938,226.39999389648438,3797794
2024-08-26,213.9199981689453,227.58999633789062,213.0,226.99000549316406,3325224
2024-08-27,217.19000244140625,223.8000030517578,215.0,215.0,3114861
2024-08-28,211.60000610351562,219.66000366210938,211.0,219.5,3423808
2024-08-29,206.32000732421875,214.27999877929688,205.39999389648438,212.0,2096468
2024-08-30,219.27999877929688,232.25,204.61000061035156,209.0,9958731
2024-09-02,211.6199951171875,225.89999389648438,211.0,222.5,4307243
2024-09-03,204.02000427246094,212.86000061035156,203.25,210.89999389648438,2158589
2024-09-04,204.22000122070312,209.39999389648438,199.52000427246094,200.0500030517578,3067200
2024-09-05,203.2100067138672,208.7899932861328,202.39999389648438,207.0,1357165
2024-09-06,197.25,204.88999938964844,194.80999755859375,203.9499969482422,1626821
2024-09-09,216.64999389648438,220.58999633789062,190.72999572753906,197.64999389648438,8814427
2024-09-10,224.88999938964844,233.4499969482422,217.0,219.58999633789062,7080033
2024-09-11,226.77999877929688,231.8000030517578,220.49000549316406,226.75,2822403
2024-09-12,224.49000549316406,229.14999389648438,221.00999450683594,229.14999389648438,1295073
2024-09-13,241.36000061035156,250.64999389648438,223.4499969482422,225.00999450683594,12317147
2024-09-16,242.47000122070312,246.75,234.24000549316406,242.64999389648438,3152409
2024-09-17,230.3699951171875,243.0,228.60000610351562,242.5500030517578,2142288
2024-09-18,222.38999938964844,234.6699981689453,220.5,231.77000427246094,2045595
2024-09-19,214.27999877929688,228.83999633789062,210.88999938964844,224.64999389648438,2103320
2024-09-20,225.17999267578125,228.75,215.69000244140625,216.99000549316406,2322059
2024-09-23,219.10000610351562,228.0,218.1199951171875,226.8000030517578,1293739
2024-09-24,213.05999755859375,220.0,212.0,219.99000549316406,971343
2024-09-25,212.55999755859375,216.0,209.2100067138672,213.1999969482422,1379691
2024-09-26,216.9199981689453,221.89999389648438,212.41000366210938,213.0,1418504
2024-09-27,215.50999450683594,221.5,212.94000244140625,216.9199981689453,1164521
2024-09-30,210.99000549316406,215.55999755859375,210.2100067138672,213.5,560765
2024-10-01,213.44000244140625,216.0,211.1999969482422,211.39999389648438,902240
2024-10-03,206.7899932861328,212.38999938964844,206.0,209.0,713366
2024-10-04,205.47000122070312,211.6999969482422,201.5,207.0,887162
2024-10-07,196.22000122070312,209.9499969482422,194.0,208.5399932861328,1447313
2024-10-08,206.35000610351562,212.0,195.0,195.10000610351562,1190655
2024-10-09,212.91000366210938,215.27000427246094,208.05999755859375,208.89999389648438,1135940
2024-10-10,209.24000549316406,214.33999633789062,208.60000610351562,213.89999389648438,468091
2024-10-11,207.6999969482422,211.3300018310547,205.5500030517578,210.5,421814
2024-10-14,214.49000549316406,215.39999389648438,207.1999969482422,209.75,1097880
2024-10-15,216.8800048828125,218.22999572753906,211.11000061035156,215.8000030517578,837460
2024-10-16,218.5399932861328,223.89999389648438,214.3000030517578,218.0,1054358
2024-10-17,212.6699981689453,220.83999633789062,212.0,219.89999389648438,451727
2024-10-18,209.9199981689453,213.2899932861328,205.00999450683594,212.0,678982
2024-10-21,201.52999877929688,211.91000366210938,200.0,210.89999389648438,565915
2024-10-22,195.47000122070312,203.0,194.39999389648438,200.89999389648438,1066125
2024-10-23,197.58999633789062,201.5,192.60000610351562,197.00999450683594,730960
2024-10-24,197.0,204.0,196.25,199.3000030517578,645771
2024-10-25,195.2100067138672,198.5,192.0,198.32000732421875,535060
2024-10-28,198.14999389648438,203.00999450683594,195.49000549316406,198.6999969482422,598075
2024-10-29,195.86000061035156,214.89999389648438,192.39999389648438,206.9499969482422,2454786
2024-10-30,198.80999755859375,204.0,195.6999969482422,196.10000610351562,1047304
2024-10-31,197.94000244140625,200.25999450683594,196.6999969482422,199.61000061035156,508017
2024-11-01,201.91000366210938,202.64999389648438,199.74000549316406,199.75,265728
2024-11-04,196.66000366210938,203.19000244140625,193.8699951171875,202.89999389648438,624418
2024-11-05,198.8699951171875,201.2899932861328,195.2100067138672,195.6999969482422,479655
2024-11-06,204.92999267578125,207.39999389648438,199.1199951171875,200.39999389648438,898216
2024-11-07,202.47999572753906,218.5,201.0,207.0,3685760
2024-11-08,204.88999938964844,209.38999938964844,201.02999877929688,204.99000549316406,1077047
2024-11-11,196.97999572753906,207.5,196.30999755859375,206.0,1421849
2024-11-12,193.44000244140625,200.9499969482422,192.22999572753906,198.9499969482422,1051497
2024-11-13,184.32000732421875,192.7899932861328,183.0,192.0,1116907
2024-11-14,184.64999389648438,187.0,182.5,184.32000732421875,1122532
2024-11-18,176.1999969482422,185.5,175.85000610351562,184.89999389648438,871489
