Price,Close,High,Low,Open,Volume
Ticker,VENUSREM.NS,VENUSREM.NS,VENUSREM.NS,VENUSREM.NS,VENUSREM.NS
Date,,,,,
2006-12-20,367.32305908203125,401.71517190361516,365.7123970631968,378.9765772675615,4340
2006-12-21,373.6708984375,378.0291348475386,358.60658531276533,358.60658531276533,928
2006-12-22,374.3814697265625,388.45098053601737,364.954444986115,365.2386658454505,6204
2006-12-26,370.4495849609375,377.0816747172714,369.69164341137457,369.9758642640565,160
2006-12-27,376.13427734375,376.13427734375,365.7124207926637,371.39706982052894,1497
2006-12-28,369.0284118652344,379.9239875685725,367.89147066117886,378.97654620306486,348
2006-12-29,365.7597961425781,371.39708488938334,364.85974402482,371.39708488938334,581
2007-01-02,370.3074951171875,378.9765785692351,364.7649568728888,369.5021641050042,1962
2007-01-03,405.45758056640625,425.8749322723005,378.0291389914303,378.0291389914303,16768
2007-01-04,434.97039794921875,450.9821534986964,417.34798028608355,425.9697037092238,120743
2007-01-05,431.9859313964844,442.45514762823643,426.58550368225576,442.45514762823643,13810
2007-01-08,440.1339111328125,454.8666429314365,423.50632536028877,433.92818124163813,39519
2007-01-09,427.86456298828125,449.89257661766396,426.4434008186437,449.89257661766396,21474
2007-01-10,435.1124572753906,450.9821005184234,417.82165195089226,426.348624439686,65286
2007-01-11,430.2804870605469,440.56023158013994,426.3959717090526,435.8230247889556,9350
2007-01-12,427.1065368652344,440.56021521798203,422.558830080043,438.5705826568553,7507
2007-01-15,434.8282165527344,443.4025491536135,428.24348764408825,440.5602251205775,13383
2007-01-16,426.5854797363281,440.5602400386287,426.34861939222134,440.5602400386287,4317
2007-01-17,430.7542419433594,439.61282512900584,422.5588793265875,435.8230593951351,18039
2007-01-18,429.7594299316406,436.77049059226374,421.6587885171712,426.44338499222,13155
2007-01-19,431.7490539550781,436.77048176787383,423.9800229742376,428.243509238783,11046
2007-01-22,440.6076354980469,443.49734927357775,427.4855945243736,434.7808763534714,15832
2007-01-23,437.24420166015625,448.4239985011881,436.77048096496645,437.717922355346,113599
2007-01-24,440.5602722167969,449.84518681849926,437.71794787991433,444.35003799930695,52871
2007-01-25,442.9761962890625,457.61417686606296,437.7179083066689,440.56023238658236,104480
2007-01-29,443.9236145019531,449.0871812100033,383.713730780699,383.713730780699,4092
2007-01-31,443.3078308105469,445.29746355810437,437.8126821874044,439.139094381237,6226
2007-02-01,442.40777587890625,450.03466762799707,438.9022311129887,440.5602535726708,5408
2007-02-02,449.84521484375,452.78228929089806,445.2027572536748,448.13983170082287,4979
2007-02-05,450.50836181640625,459.41430472153644,380.44506243534863,448.1397584419772,14410
