Price,Close,High,Low,Open,Volume
Ticker,WABAG.NS,WABAG.NS,WABAG.NS,WABAG.NS,WABAG.NS
Date,,,,,
2010-10-13,313.8897399902344,333.109713640869,276.54670728148625,276.54670728148625,46344000
2010-10-14,307.6121520996094,317.8443584326585,304.20139790073455,316.369465069479,3326850
2010-10-15,316.17584228515625,322.6378260315598,300.9196934783783,307.8886682701171,2653820
2010-10-18,310.6541442871094,322.6378353130216,305.12320996745757,313.4196114469353,1138305
2010-10-19,308.3495788574219,315.70573140424364,306.7824695955667,307.1512210443226,678215
2010-10-20,302.86480712890625,311.188864168255,301.47287411804115,308.25747502138125,218360
2010-10-21,305.75933837890625,310.2486099094909,303.2796333511151,304.20145594488747,355630
2010-10-22,311.3824157714844,313.41963552549925,302.35776603636396,302.35776603636396,798530
2010-10-25,302.59747314453125,312.5070653565898,287.7930055415247,312.4978381291031,492165
2010-10-26,300.9197082519531,308.61693096295636,299.5922817377107,304.43184936578143,113995
2010-10-27,296.68853759765625,304.01700861410046,295.16753630230266,304.01700861410046,202425
2010-10-28,298.3939514160156,305.12324434368924,295.90501943904604,298.60595258447694,279000
2010-10-29,301.1871032714844,306.0450981661339,296.8452986420078,300.5141626571074,232595
2010-11-01,303.7589416503906,309.6954808317704,298.6704915514038,304.18300025748226,183735
2010-11-02,307.37249755859375,312.18441214808087,303.7036338703106,304.42265429716315,195150
2010-11-03,309.9167175292969,311.5759866790141,302.3577622210551,306.9668744500346,164155
2010-11-04,308.27587890625,311.9447142862197,306.8746907651819,311.9447142862197,57935
2010-11-08,308.1929016113281,311.9447259083067,306.45989895572797,309.7323575521493,67520
2010-11-09,315.0236511230469,327.0626522119877,304.2014626362816,304.38583841180895,794300
2010-11-10,307.66748046875,320.60984785585197,304.6162503051202,315.07891296611245,271575
2010-11-11,305.75006103515625,310.10106408985865,304.4318616937588,308.81051829646987,185700
2010-11-12,310.41448974609375,313.2352642555723,304.3857910432887,305.7500702954246,74120
2010-11-15,307.87030029296875,321.5316888782337,306.0543087741823,311.465402552249,458920
2010-11-16,304.03546142578125,312.1290607251022,301.43591558561604,308.46019755780975,175000
2010-11-18,306.9023742675781,313.1799835712378,299.0484562831568,311.76039710168243,165995
2010-11-19,306.9392395019531,308.9949138080924,303.27960304510384,305.30762380146496,75595
2010-11-22,307.9532165527344,311.0228727730588,304.20139262539226,309.732327036763,53255
2010-11-23,304.4871826171875,309.49267195659905,303.27959741298594,307.8794826086576,39840
2010-11-24,308.312744140625,310.654181157407,304.2014236852946,305.86069292540753,52325
2010-11-25,307.1143798828125,314.1570889801598,305.65788461501995,307.89793461479815,75810
2010-11-26,305.47357177734375,307.88874244151674,285.2395548462096,306.04509727719625,89550
2010-11-29,301.41748046875,305.3075718895756,295.18595241493256,305.3075718895756,48520
2010-11-30,299.0115661621094,301.4543902125323,296.4581279104282,301.4543902125323,37930
2010-12-01,302.4683837890625,308.6261511255051,286.50241188692297,298.8732817891507,198990
2010-12-02,304.1092529296875,311.57602119413,302.72651910782,311.57602119413,67330
2010-12-03,298.29254150390625,307.70434141841366,295.35192545761436,305.8606964054051,66255
2010-12-06,300.1269226074219,304.2013899661671,285.9493178209118,300.5141003908196,126325
2010-12-07,299.59228515625,306.9668644831731,294.9831730769231,303.8326738955883,167820
2010-12-08,289.8854675292969,303.2795447798658,286.73282280132025,297.0111642255794,239095
2010-12-09,289.31396484375,298.6704565443212,288.1432323955443,292.752344379253,184060
2010-12-10,290.0329895019531,294.61444800717663,288.39214673661803,294.61444800717663,39735
2010-12-13,278.6392517089844,290.3740611985139,265.484855952927,285.21185003973835,229835
