Price,Close,High,Low,Open,Volume
Ticker,WONDERLA.NS,WONDERLA.NS,WONDERLA.NS,WONDERLA.NS,WONDERLA.NS
Date,,,,,
2014-05-09,150.6348876953125,160.37174045245112,145.28915718718662,152.73499090709632,3454392
2014-05-12,152.8304443359375,156.21924003302058,150.34849509841203,152.54406333684722,365222
2014-05-13,160.4672088623047,160.4672088623047,151.82813285289257,152.78272656518243,498789
2014-05-14,168.4857940673828,168.4857940673828,161.32634106168666,166.9584382664565,262239
2014-05-15,170.15634155273438,176.8862306255126,168.00850554435485,173.73606823336692,769972
2014-05-16,162.9491424560547,178.4135575568187,161.66044969445832,176.3134543199645,368799
2014-05-19,159.22622680664062,166.5765951403319,155.59876795343325,163.235517300841,575598
2014-05-20,167.14935302734375,167.14935302734375,155.5987640991293,157.65113460902896,396483
2014-05-21,175.50204467773438,175.50204467773438,167.38799882385058,175.35884689368837,239704
2014-05-22,184.09339904785156,184.2365822750557,179.46361382233405,179.84544547217428,302617
2014-05-23,184.90478515625,198.50774452635585,182.32738524141854,196.83720565634283,1066598
2014-05-26,185.04800415039062,197.50544092749493,175.6452498922793,186.1457811358395,902637
2014-05-27,205.9058837890625,212.8744215790548,178.50904410440918,185.76396295321265,2749751
2014-05-28,200.36920166015625,215.73816527849726,199.17595959556277,206.95590659627803,1248363
2014-05-29,202.94662475585938,211.34703759312993,196.3121869433682,204.76034694437374,969082
2014-05-30,194.68939208984375,206.90819498361037,193.30523406773287,205.04674008725817,471776
2014-06-02,191.9210662841797,195.5962432893451,187.1003651863428,195.5485252571037,464566
2014-06-03,194.68939208984375,200.13057354300582,191.06193293242083,194.21209521560243,309009
2014-06-04,190.9664764404297,197.3145188467746,189.15273963437102,195.64397983816338,226793
2014-06-05,191.2051239013672,193.73479141806828,189.48685230231357,191.8733365882369,296875
2014-06-06,203.18528747558594,209.0560332683888,190.91875184327745,194.40301323803934,1463552
2014-06-09,206.33543395996094,212.39711012010358,203.32846946329016,204.71262749245696,615591
2014-06-10,204.18759155273438,208.0059664452844,200.94197872044458,207.14683792083835,359634
2014-06-11,200.08285522460938,210.0106243683728,195.0235054516369,205.6194873052017,506516
2014-06-12,200.7510528564453,206.09676869929592,196.83721296079852,199.98737500291136,275639
2014-06-13,194.88031005859375,205.1421929670603,193.11432034414545,202.7557085697425,259361
2014-06-16,189.3914031982422,196.31220821552293,185.5730280162942,196.31220821552293,249029
2014-06-17,194.92803955078125,196.83722703818546,189.9641549967192,192.25517415522643,227130
2014-06-18,194.73712158203125,199.2714418149462,191.01421184875252,195.6917153152765,212023
2014-06-19,192.97113037109375,197.26680246057492,190.96649213556975,195.69172852081,125214
2014-06-20,192.78021240234375,194.45075152986135,190.9187574305846,192.82794500489044,125540
2014-06-23,192.97113037109375,194.35530303046068,190.91875953249755,193.4007092327982,81191
2014-06-24,193.1143035888672,197.98272259742743,192.68473934780945,193.78251624895074,103816
2014-06-25,192.4938201904297,195.69171501832645,191.49150842479867,194.16435922107394,56455
2014-06-26,191.68243408203125,195.69172504787178,191.1096719872204,193.4961564390237,92395
2014-06-27,190.3459930419922,193.73480385880563,189.10503278637873,192.68475944513693,60656
2014-06-30,203.7102813720703,207.14682437705312,191.1096479637055,191.73014258274193,813777
2014-07-01,204.04440307617188,208.4832579482935,202.85116095291943,205.18991260130548,240257
2014-07-02,203.47164916992188,207.14684088293234,202.46933739905037,205.6672176777225,172607
2014-07-03,210.58335876464844,217.55188055001474,202.8511446028226,204.6171486292713,1115916
2014-07-04,228.05242919921875,231.39350715061929,210.5833761346511,212.4925635354514,1626900
2014-07-07,234.16184997558594,242.27589685707952,227.43196111951116,229.57979705873004,1084776
2014-07-08,213.06532287597656,234.73459816804774,210.10609097958277,234.73459816804774,422100
2014-07-09,206.00132751464844,215.26088367761417,203.32846218772426,214.1153741277736,290532
2014-07-10,211.15609741210938,222.42030459219885,199.51005862562042,205.42853592046475,366424
2014-07-11,205.4285430908203,216.69275066407994,203.32844005043626,212.68346039317535,200754
2014-07-14,206.430908203125,211.6811740764993,203.32847836885838,207.5764178441267,119479
2014-07-15,213.30397033691406,214.78359356130306,207.62414044259296,208.10143731717363,160929
2014-07-16,214.92677307128906,219.46109330119765,213.82899610516264,214.879055037414,148874
2014-07-17,220.65432739257812,222.4680641577383,214.01990410688418,216.35865575301378,207587
2014-07-18,219.2701873779297,226.572838502029,216.88370293854007,218.6019746480896,216471
2014-07-21,219.1269989013672,223.32720558794065,218.2201377492598,220.94072120558192,65878
2014-07-22,216.45413208007812,223.2317535085224,214.5449445865383,220.98845237723523,120208
2014-07-23,211.68118286132812,219.12701768576133,207.6241590635349,217.64739432867108,192323
2014-07-24,214.83132934570312,217.6473780342734,211.44251857276998,212.73122597961404,102551
2014-07-25,209.96287536621094,216.59729847730878,208.57871745418876,213.20850259247837,125414
2014-07-28,209.294677734375,212.20619155789387,207.62413868746435,211.25159781680208,65047
2014-07-30,210.3924560546875,212.82667302321545,207.62414001420925,209.96289178164014,77840
2014-07-31,208.43553161621094,211.91979265098723,207.62412117833208,211.63341163962156,56986
2014-08-01,206.86045837402344,217.5519052366388,203.85349395095625,207.14683940620705,234291
2014-08-04,209.1514892578125,214.258556905093,208.1014303425504,208.34007877184231,100583
2014-08-05,207.48095703125,211.919812134721,206.28771484580673,210.67883734867112,99935
2014-08-06,213.54261779785156,214.59267674350588,207.62413949330045,207.81505532907087,250454
2014-08-07,215.78591918945312,219.46109637186652,211.91981160509025,212.01527680606497,162282
2014-08-08,220.2725372314453,224.04318013435224,204.56947085987937,213.35173161962308,1139867
2014-08-11,225.9523468017578,232.5390526813044,222.80218438683949,224.3295402746621,610901
2014-08-12,237.93247985839844,241.03490938513784,227.52741434894233,227.52741434894233,995595
2014-08-13,248.7671356201172,253.58782237664158,235.30735799753165,237.88475819425486,974798
2014-08-14,274.01611328125,285.232589393337,252.25138830799824,252.25138830799824,2423521
2014-08-18,276.8798522949219,281.0323401353389,269.1953857377847,273.87288838699357,728765
2014-08-19,271.2001037597656,280.3642100442941,269.67274785702904,278.1686268303945,344070
2014-08-20,284.23028564453125,297.737781218221,270.81825527107134,271.5819186091323,1358113
2014-08-21,297.73779296875,300.69703950133163,281.60516397743754,285.0417073981165,999735
2014-08-22,297.3081970214844,302.3198135672729,291.67607131213737,300.12423074427227,691512
2014-08-25,323.082275390625,333.9168914511191,297.4036794907897,298.1196248233452,2144539
2014-08-26,311.96124267578125,339.3580964314416,309.28839168435184,325.99378321051285,2115101
2014-08-27,318.5956726074219,325.5164774805419,312.24762982604153,314.25228258118534,793080
2014-08-28,306.7586669921875,327.42561313170364,297.4513791553534,319.7888641373782,785241
2014-09-01,304.3244323730469,314.44313050392043,300.21969148718443,309.0974004412056,517362
2014-09-02,298.69232177734375,309.19285103154937,297.21271339882287,305.42222391485126,469203
2014-09-03,296.63995361328125,307.0927649186992,294.01482128042034,300.07649631176685,569020
2014-09-04,293.58526611328125,300.69700047569916,289.2418766480535,295.92403221418016,382194
2014-09-05,301.1265869140625,305.469976489518,293.58527356396786,294.11031756519145,585230
2014-09-08,305.0881652832031,308.04741170506327,300.6970282506257,303.08351260182116,417490
2014-09-09,300.9833984375,307.37918823045464,298.78784446003823,306.9018913543204,281171
2014-09-10,304.5154113769531,316.59101669138533,297.40367616696113,300.3629226681621,1028147
2014-09-11,307.29681396484375,312.4759679955251,303.5563154576584,305.76224221921035,378214
2014-09-12,301.2544250488281,309.79044062387993,299.24030177910385,308.5436177409404,292015
2014-09-15,300.9667053222656,308.639534309648,297.80167507277827,299.33624672415874,353238
2014-09-16,282.8396301269531,303.6521888024935,268.64490934063775,301.78192517823123,593292
2014-09-17,279.1470947265625,287.44336439078586,271.09063023499755,286.4362880358906,347719
2014-09-18,286.867919921875,290.9920540866583,273.344552020634,279.09917416843683,374929
2014-09-19,304.9469909667969,311.56479972804357,283.8946559542725,289.07380936439955,1006384
2014-09-22,305.9061279296875,315.35327568442796,302.741068249987,307.1050075198344,453439
2014-09-23,292.62255859375,308.5436866222907,291.5675386198393,305.5224864084729,307949
2014-09-24,276.030029296875,294.68460770913504,273.4404669047567,293.58164432344455,442174
2014-09-25,274.0638427734375,278.6195846918061,273.34451510211613,275.45455464579925,386305
2014-09-26,276.31781005859375,287.53930693351475,272.3854786328761,273.7761908477906,589483
2014-09-29,283.3191833496094,288.6901690936269,276.701374696051,278.23594623284424,571805
2014-09-30,276.1739501953125,285.23746351988643,273.9200504173039,285.23746351988643,174186
2014-10-01,275.79022216796875,280.53779658725267,274.8311185898927,276.22183048591035,151717
2014-10-07,279.9144592285156,284.27836995638955,272.52934801416245,273.34459212528344,239386
2014-10-08,277.66046142578125,282.7916709709726,276.22180618523316,279.9143604898764,109260
2014-10-09,283.4630432128906,289.93699219179337,277.80433810745694,277.80433810745694,526038
2014-10-10,278.2839050292969,282.59987125012884,276.7013899355623,280.58574782650345,151009
2014-10-13,280.72967529296875,284.7578934232865,278.1400834974248,278.1400834974248,166880
2014-10-14,294.82843017578125,302.69309112055464,281.11326089717176,281.11326089717176,942576
2014-10-15,294.82843017578125,294.82843017578125,294.82843017578125,294.82843017578125,0
2014-10-16,292.5266418457031,309.7905092333184,288.9779462859951,292.28686590976406,889750
2014-10-17,297.6098327636719,304.3235579048267,295.5477658956495,297.27416992222913,323691
2014-10-20,301.7819519042969,306.7213297543647,298.85669753499536,303.0767476611838,283093
2014-10-21,301.68603515625,306.8652181746824,299.48010851471025,302.11764349762603,373220
2014-10-22,302.0696716308594,305.8101695829566,300.39124043585906,304.994925720053,119456
2014-10-27,303.6522216796875,311.61277027306056,301.3503787718043,306.86522476358647,364091
2014-10-28,303.93994140625,307.6804397944241,302.5492586728307,303.1726701926063,152279
2014-10-29,299.0484924316406,306.8172374886539,296.84256584720737,305.95405009776783,144074
2014-10-30,295.9314270019531,303.74814536323396,292.6225368872806,299.33626260748264,144539
2014-10-31,294.0611877441406,300.63105366310714,292.52661603562336,297.60985372122093,277250
2014-11-03,302.6451110839844,304.37151502194325,295.0681989532415,296.746630152372,311464
2014-11-05,314.49005126953125,316.5041745981503,303.0767247667136,304.41946389595375,967008
2014-11-07,298.185302734375,320.9640131845893,295.4039081543579,316.2164679366771,1209081
2014-11-10,295.691650390625,303.3644797671656,294.92437916077944,298.95262629127177,444351
2014-11-11,292.6704406738281,300.487128705558,291.08792567971994,297.9934829061232,237715
2014-11-12,292.5266418457031,296.69874898494817,291.56753810194675,294.4448493332159,153648
2014-11-13,288.2585754394531,295.21207654348785,285.8128729658416,294.82844095716905,197507
2014-11-14,284.03851318359375,289.6492748584305,282.4559981649264,288.6901712992966,149983
2014-11-17,294.44482421875,296.6507509334274,280.53782112047026,283.0314964954453,297658
2014-11-18,299.67193603515625,303.36446153508007,295.1641373395471,296.2191571693194,349089
2014-11-19,292.094970703125,301.59011914211163,287.73106131433116,300.5830428658012,162066
2014-11-20,289.6972351074219,293.48570609323053,285.81287717576043,290.1288434418374,101628
2014-11-21,290.22479248046875,295.4039467315987,289.1697725310942,289.4574919402314,95760
2014-11-24,293.29388427734375,299.096478917899,290.3686298544956,290.6084057668445,335319
2014-11-25,287.25152587890625,294.444802820782,283.99057951915967,293.4856992285319,144680
2014-11-26,287.87493896484375,292.5265972670931,284.3742166875184,286.0526479833132,95366
2014-11-27,286.2924499511719,290.22478091328327,285.3333462662433,289.5533966260246,70508
2014-11-28,289.8410949707031,295.21205125817465,286.0046808970711,286.0046808970711,193852
2014-12-01,284.47015380859375,291.56751509853547,283.4151339197935,289.2176994039131,104109
2014-12-02,280.3459777832031,285.3333283392945,279.57870659127514,284.47014093099557,185884
2014-12-03,281.4969482421875,285.81291508065374,280.15420885745823,280.15420885745823,243600
2014-12-04,281.0653076171875,287.155621533585,279.57870869556797,282.83965519008564,154881
2014-12-05,278.18792724609375,282.6957248979889,277.1808803919213,281.20912634763664,114233
2014-12-08,274.5913391113281,279.6266328305054,273.82406796668926,279.57868936003473,104930
2014-12-09,270.4671630859375,274.78312845433015,268.5489562555408,273.15264094068755,173704
2014-12-10,265.38397216796875,272.09769722478524,263.7534843749345,268.932637850575,179934
2014-12-11,269.0765380859375,273.20070166124276,257.03979805640387,266.10333995687347,233052
2014-12-12,260.7323303222656,271.42633005166937,258.95798273480824,270.3713101940309,118973
2014-12-15,256.6081848144531,260.87620801366205,253.68293021916767,257.23162563892714,146946
2014-12-16,255.79293823242188,258.9579683601271,249.84648428819668,255.9847413880145,286020
2014-12-17,258.0947265625,260.3486253694504,244.57136299030978,253.73078860233795,169292
2014-12-18,274.92706298828125,278.1400661581504,261.6434712161343,261.6434712161343,223878
2014-12-19,276.6054992675781,281.017382110244,272.0977294712088,276.8452751908804,439449
2014-12-22,289.6492919921875,293.4857064556602,278.1400486017694,278.1400486017694,584650
2014-12-23,283.17535400390625,291.56751098116,282.26419382428185,290.60840732661677,308635
2014-12-24,282.12030029296875,289.4094930471483,280.3939256296576,280.3939256296576,215112
2014-12-26,280.3459777832031,284.85377652695956,278.18799462769584,282.9355692776198,182889
2014-12-29,278.7633972167969,282.55186735270894,277.1808824614903,280.05819266005244,200535
2014-12-30,295.691650390625,297.13030589872636,278.61961673563064,279.77055284992025,490059
2014-12-31,298.1372985839844,303.7480593436968,293.4856412269745,297.1302224494389,682841
2015-01-01,295.4998474121094,299.4321783240748,292.62253639401587,298.28124220902885,123823
2015-01-02,295.3080139160156,300.96671971083674,293.5336662739518,295.4998463576792,158325
2015-01-05,303.5083312988281,305.8101739739764,294.6366234264409,294.6845668963224,412413
2015-01-06,292.19091796875,302.117646493143,289.8890750874682,301.8299271090529,214117
2015-01-07,295.2120666503906,301.0626042716269,281.0652890162665,290.94407333265383,467693
2015-01-08,301.350341796875,303.93990377444067,296.55482413154925,296.55482413154925,189424
2015-01-09,313.48297119140625,323.21786543900447,307.9681263063194,312.6677273979687,1774981
2015-01-12,307.87225341796875,315.4491659503639,302.8369595536562,313.5309587639591,265748
2015-01-13,306.6253967285156,313.1472887371336,304.99490909160335,307.87221955473166,183807
2015-01-14,317.2714538574219,324.3688437941452,307.00906307104367,307.00906307104367,1104431
2015-01-15,321.34765625,327.4859428350829,317.99079357919766,322.210872923822,510183
2015-01-16,317.7510070800781,325.9513603213439,314.6818931593829,322.88221713113,352733
2015-01-19,308.8793029785156,321.107873890643,308.3038642335602,320.2926592454498,167273
2015-01-20,307.5365905761719,313.05143676195996,304.9949716661913,308.9273026264836,142204
2015-01-21,322.3067626953125,324.1290830053368,307.0570208539044,307.0570208539044,536899
2015-01-22,327.2461853027344,329.83574766102834,319.18969102487415,323.6015737795306,498594
2015-01-23,330.3152770996094,334.2476077505789,320.3406054194931,328.63684578378866,518536
2015-01-27,321.683349609375,329.6439272496355,319.62128267184767,326.0472886599298,166334
2015-01-28,327.9175109863281,332.80894514056877,321.34764555256015,323.2179092575553,428086
2015-01-29,316.50421142578125,334.24762933904475,309.79048572887075,323.4097695646977,520641
2015-01-30,312.188232421875,320.3406132992511,310.74957697292626,320.3406132992511,121929
2015-02-02,300.29534912109375,314.4421275088007,298.37714188208264,311.70867633930595,162861
2015-02-03,300.103515625,307.8722607693453,297.5139534232312,303.02879921582854,145065
2015-02-04,296.9385070800781,303.8440360585087,294.44483164223305,301.97380143226616,94982
2015-02-05,290.944091796875,299.28827580992436,286.38834955778117,295.547777509625,132996
2015-02-06,285.33331298828125,291.6634024244459,282.93555405560664,287.97084781422336,170995
2015-02-09,276.8452453613281,283.70283017497644,275.2627302919506,278.42776043070563,159746
2015-02-10,273.4884033203125,281.97647658151743,271.90588813217755,278.14006193414986,196643
2015-02-11,277.66046142578125,282.9355306411243,276.17386271835454,276.17386271835454,173061
2015-02-12,284.5660705566406,287.63518473849473,278.763475792247,278.763475792247,196585
2015-02-13,289.601318359375,292.3347399643181,281.0173301835057,284.85374424744435,137372
2015-02-16,289.1697082519531,292.43065433190276,287.731052987018,289.60131653924014,76290
2015-02-18,279.33892822265625,290.3206763361273,277.420720990226,287.7310848645386,199295
2015-02-19,276.31781005859375,282.312208796113,273.34458243087914,280.5378609159023,184297
2015-02-20,280.5378112792969,281.97646672175483,275.2627413236178,275.2627413236178,81573
2015-02-23,273.9679260253906,282.26416596443613,271.95380269574224,282.26416596443613,113618
2015-02-24,271.4263000488281,275.2627141837939,270.51513998396695,275.2627141837939,104323
2015-02-25,267.7337646484375,275.1188740917566,265.3839783852135,273.24861036002073,125477
2015-02-26,270.5151672363281,273.3445346537096,264.80851819737495,269.4122039153136,126946
2015-02-27,277.9002380371094,279.2909498144716,270.9467376893301,270.9467376893301,148913
2015-03-02,258.38250732421875,273.34452953142153,257.4234037118278,273.2965860586097,458285
2015-03-03,261.88323974609375,268.3571893791787,259.96503244740194,261.3557444467617,336824
2015-03-04,260.8761901855469,266.1512602076811,259.2457022890791,265.6237649132758,180159
2015-03-05,261.7393493652344,263.657556439028,258.57431940128174,263.2259774091347,120084
2015-03-09,261.0679931640625,262.3148160480747,257.5192983872324,261.8352642819905,128740
2015-03-10,265.76763916015625,269.4122214854177,261.8353081653077,266.63082662987375,304384
2015-03-11,261.6914367675781,266.4869550177829,259.4375373360778,263.8494199801703,100269
2015-03-12,271.57012939453125,273.24856039112234,262.45864684160836,262.45864684160836,301627
2015-03-13,263.3218688964844,273.3445127380188,261.69141041730154,272.38540918455203,151833
2015-03-16,261.0679931640625,264.7125748784959,259.3895619827677,264.7125748784959,57486
2015-03-17,263.46575927734375,265.6716857545018,261.40366321056644,261.9791311996783,54138
2015-03-18,271.4742126464844,273.10470017623754,261.49954288376597,261.835234936305,172432
2015-03-19,269.8437805175781,275.26270953785206,266.6787213479417,272.57723139650886,177551
2015-03-20,260.8761901855469,269.8438150770791,260.15686245525586,269.8438150770791,91415
2015-03-23,258.1427307128906,260.87618185460934,256.08066380581135,260.39663004972954,198328
2015-03-24,254.35426330566406,260.0609116451882,253.20332738248257,255.69700236969817,74719
2015-03-25,253.1554412841797,256.8959399779085,251.47700975639543,254.162488493041,178310
2015-03-26,249.606689453125,254.92970224662426,248.59964247149532,249.3669135746878,84579
2015-03-27,249.89443969726562,253.29927515376946,241.69411534860316,249.9424124405944,156286
2015-03-30,253.8267822265625,255.4092974394739,251.47699577997324,252.53198640889994,59054
2015-03-31,250.61375427246094,255.60110460674133,249.65465069044689,254.6420010247273,96066
2015-04-01,253.68292236328125,255.93682185632997,249.60673173929658,249.60673173929658,77467
2015-04-06,262.3627624511719,263.17800631653625,254.4981309611417,258.67023722663924,152416
2015-04-07,262.3148193359375,267.06239358748445,260.1568363615102,260.87616401965266,69215
2015-04-08,266.39105224609375,269.50813926607503,262.79441337688456,262.79441337688456,87139
2015-04-09,270.70697021484375,273.00881282335183,265.6716767033188,266.63078022932353,153857
2015-04-10,270.850830078125,273.6801971896126,266.00736897624074,266.00736897624074,67737
2015-04-13,276.7013854980469,279.0991444711669,271.04268017538743,272.0497272362903,143546
2015-04-15,272.9609375,280.0582995103999,269.604074320937,274.4955093786194,98250
2015-04-16,266.87054443359375,273.20063328214815,265.09619713422023,272.8649412088317,56224
2015-04-17,263.36981201171875,271.13855577486527,260.8761371992932,266.63075787280707,84867
2015-04-20,259.34161376953125,264.85645960102073,255.2654233723434,261.35573723145745,76355
2015-04-21,263.13006591796875,264.71258092831056,255.12154538742973,259.0538758130944,112847
2015-04-22,264.8085021972656,266.29510102669923,260.8761716964667,260.8761716964667,42085
2015-04-23,263.4178161621094,265.67171563238946,259.9650371086506,264.3769198286523,39045
2015-04-24,255.93682861328125,265.0962572553021,252.72382535917478,262.79441422547967,88503
2015-04-27,256.22454833984375,260.0609631509049,243.61234050238457,256.17660486251435,91927
2015-04-28,263.13006591796875,264.71258092831056,249.07920470448187,254.40221772186368,120043
2015-04-29,269.6519470214844,271.42629437572367,263.75346626616255,264.6166535745849,105585
2015-04-30,255.69700622558594,268.6449038438069,251.47695655947652,268.54898763717597,138432
2015-05-04,260.8761901855469,262.60256503043723,258.9579829047708,258.9579829047708,40399
2015-05-05,260.7803039550781,263.17806333176975,259.43756455803555,259.43756455803555,37263
2015-05-06,255.36135864257812,262.55463635081975,254.16247902453784,258.95799749669897,56141
2015-05-07,250.42196655273438,254.16246489923415,249.51080638585353,253.39519369413892,47117
2015-05-08,252.96359252929688,256.0806794514588,251.47699355115117,255.1215757831013,51729
2015-05-11,255.93682861328125,257.99889571771547,252.72382535917478,254.45020031416107,50053
2015-05-12,251.47695922851562,256.65611247686934,250.32602327576274,254.64198919431036,51758
2015-05-13,250.42196655273438,256.0806721814925,248.93533834727197,254.16246489923415,58374
2015-05-14,249.84646606445312,251.86058930313703,249.36691430617202,251.86058930313703,34520
2015-05-15,259.4854736328125,260.82824212134227,250.61376511534536,250.61376511534536,165717
2015-05-18,263.13006591796875,266.6307880364867,259.91706315787013,259.91706315787013,95024
2015-05-19,267.6378479003906,268.5490080282942,263.7055465555916,264.47281772786476,86882
2015-05-20,263.4178161621094,271.426337631647,261.83530096621774,269.3162978574441,63807
2015-05-21,255.6490478515625,267.58989914486665,252.8197098488386,261.40366933854887,270433
2015-05-22,256.6561279296875,261.5955055910688,255.12155632346216,256.5602117162636,65378
2015-05-25,252.7238311767578,258.76617292782373,251.57289500059153,258.76617292782373,45435
2015-05-26,251.95648193359375,254.83379221405573,249.84644268678278,254.06649191089096,49186
2015-05-27,250.23011779785156,252.0524087432516,249.36693043103244,249.75056600856112,55457
2015-05-28,251.47695922851562,252.24423035067278,250.08624739139898,250.08624739139898,32632
2015-05-29,256.6081848144531,257.0397931899317,250.32606724840363,250.37401072589137,66925
2015-06-01,252.48406982421875,256.0807089955039,251.76474198996172,253.73089302912112,26057
2015-06-02,250.949462890625,253.8747465699402,249.36694773008816,253.77883035152456,43917
2015-06-03,245.53054809570312,252.29221749756107,241.69413328170776,250.8535619423128,71927
2015-06-04,241.50228881835938,248.88738359340843,240.73500301327752,248.88738359340843,48730
2015-06-05,240.15953063964844,245.72234896678523,239.7758950614538,240.7349986416996,61721
2015-06-08,235.12425231933594,241.98185215031918,234.98039262673385,241.98185215031918,69401
2015-06-09,238.48109436035156,240.73499358044654,231.6235097596727,235.36400779008682,83049
2015-06-10,241.88595581054688,246.48965660403366,232.1031007711134,239.2963786875735,74007
2015-06-11,240.39932250976562,246.48963650294482,239.77591099508248,243.56436746185275,43332
2015-06-12,236.035400390625,239.77589855416622,233.5417251917579,237.42609767528728,65680
2015-06-15,238.04949951171875,239.77588883830634,236.8026619628078,239.77588883830634,22892
2015-06-16,237.37815856933594,239.44022560805422,235.12425908861175,235.12425908861175,17626
2015-06-17,237.76177978515625,240.7350068390645,236.89859238744597,238.5770237100291,48783
2015-06-18,245.0030059814453,246.1539273476627,237.8576872549716,237.8576872549716,66335
2015-06-19,240.8788604736328,248.40782949962957,239.77589720041465,244.23572303443862,49433
2015-06-22,245.09893798828125,246.44169186436667,240.44727948304694,240.92683130277172,34004
2015-06-23,245.3866729736328,249.89444253508935,244.57142902298546,247.16102056750756,57008
2015-06-24,244.57142639160156,248.40784092323452,242.7491353429799,245.5784734983472,42781
2015-06-25,242.12570190429688,244.5714190214634,239.87181721573913,241.88592600329542,20084
2015-06-26,241.59820556640625,244.57143275974258,239.77591447033586,239.77591447033586,22674
2015-06-29,237.90567016601562,239.24840946080994,232.10308998933021,235.93950469989767,22588
2015-06-30,240.54319763183594,243.27663424535348,233.58969619000814,239.24840185428116,39673
2015-07-01,238.9606475830078,244.57140929726035,237.85768433615908,242.12569227733593,50022
2015-07-02,240.39932250976562,242.22162821418436,239.87182721338462,242.22162821418436,19740
2015-07-03,240.782958984375,242.65320805627584,239.91975697327968,240.83091709078462,35451
2015-07-06,240.01568603515625,243.5643665780547,230.37669152117797,235.07630814048466,85245
2015-07-07,248.31192016601562,250.3260436122016,241.5022932777273,242.41343878537913,104423
2015-07-08,243.75619506835938,247.8803584650742,241.11865994132327,246.48964641755563,88646
2015-07-09,244.85914611816406,247.30486316629722,244.37959432969714,244.66732832972914,32152
2015-07-10,245.2427978515625,248.79147839305202,244.619386339389,246.48963551066967,14813
2015-07-13,245.91416931152344,248.4078446483843,243.70824263056218,248.4078446483843,21236
2015-07-14,254.06655883789062,257.42342171603815,242.07776284450657,242.07776284450657,161265
2015-07-15,256.46429443359375,259.77321353104924,252.48402038400792,255.12155525981427,68708
2015-07-16,256.5602111816406,261.2598129344286,255.12155579183704,261.2598129344286,30480
2015-07-17,257.75909423828125,259.6773014512173,255.1695027930099,257.0397665334302,25277
2015-07-20,257.9029541015625,261.499592628275,256.36838247626133,259.2456932976313,22395
2015-07-21,254.83384704589844,260.5884688450273,253.68291097826463,258.8141212697252,28544
2015-07-22,255.45721435546875,258.76610375576615,254.16241882078063,254.8338029556604,19624
2015-07-23,252.00445556640625,259.0058997125851,247.4487137436073,257.6152171389148,38068
2015-07-24,252.86769104003906,256.0327508917206,251.76472761107604,255.7929749606624,17193
2015-07-27,251.38101196289062,254.40218187870676,249.36688892917533,253.20330260500882,28467
2015-07-28,251.1892547607422,253.20337839735288,249.36696357315054,252.38813439330542,27401
2015-07-29,252.19638061523438,254.1625318899682,249.60678839382726,250.1342838276745,22759
2015-07-30,251.90855407714844,254.1624533856038,250.8055907937185,253.10743357425036,16918
2015-07-31,252.14837646484375,255.12160401973046,251.28518892168938,253.10748023935403,27026
2015-08-03,251.14126586914062,253.92266025982073,249.60669436305324,252.38808875373334,74043
2015-08-04,263.39208984375,267.20238838478906,251.09306294156207,252.7811646732349,284199
2015-08-05,260.7393493652344,269.99979871179573,259.4371230543479,265.32133961835075,143553
2015-08-06,263.826171875,269.13163419789765,260.4981882790107,263.19916857901615,52999
2015-08-07,264.163818359375,268.1670252588812,263.63325442348554,264.30850690983254,47275
